,Ãþ,ºí·Ï,¿­,³Ñ¹ö,ÀüÃ¼_ÁÂ¼®,X,Y,Z
0,1Ãþ,Aºí·Ï,1,1,1Ãþ Aºí·Ï1¿­ 1,1451,542,-93
1,1Ãþ,Aºí·Ï,1,2,1Ãþ Aºí·Ï1¿­ 2,1406,555,-93
2,1Ãþ,Aºí·Ï,1,3,1Ãþ Aºí·Ï1¿­ 3,1361,568,-93
3,1Ãþ,Aºí·Ï,1,4,1Ãþ Aºí·Ï1¿­ 4,1315,580,-93
4,1Ãþ,Aºí·Ï,1,5,1Ãþ Aºí·Ï1¿­ 5,1270,591,-93
5,1Ãþ,Aºí·Ï,1,6,1Ãþ Aºí·Ï1¿­ 6,1224,602,-93
6,1Ãþ,Aºí·Ï,1,7,1Ãþ Aºí·Ï1¿­ 7,1178,613,-93
7,1Ãþ,Aºí·Ï,1,8,1Ãþ Aºí·Ï1¿­ 8,1133,624,-93
8,1Ãþ,Aºí·Ï,1,9,1Ãþ Aºí·Ï1¿­ 9,1086,633,-93
9,1Ãþ,Bºí·Ï,1,1,1Ãþ Bºí·Ï1¿­ 1,927,664,-93
10,1Ãþ,Bºí·Ï,1,2,1Ãþ Bºí·Ï1¿­ 2,871,673,-93
11,1Ãþ,Bºí·Ï,1,3,1Ãþ Bºí·Ï1¿­ 3,816,682,-93
12,1Ãþ,Bºí·Ï,1,4,1Ãþ Bºí·Ï1¿­ 4,761,691,-93
13,1Ãþ,Bºí·Ï,1,5,1Ãþ Bºí·Ï1¿­ 5,706,699,-93
14,1Ãþ,Bºí·Ï,1,6,1Ãþ Bºí·Ï1¿­ 6,650,706,-93
15,1Ãþ,Bºí·Ï,1,7,1Ãþ Bºí·Ï1¿­ 7,595,715,-93
16,1Ãþ,Bºí·Ï,1,8,1Ãþ Bºí·Ï1¿­ 8,539,720,-93
17,1Ãþ,Bºí·Ï,1,9,1Ãþ Bºí·Ï1¿­ 9,484,725,-93
18,1Ãþ,Cºí·Ï,1,1,1Ãþ Cºí·Ï1¿­ 1,319,737,-93
19,1Ãþ,Cºí·Ï,1,2,1Ãþ Cºí·Ï1¿­ 2,261,740,-93
20,1Ãþ,Cºí·Ï,1,3,1Ãþ Cºí·Ï1¿­ 3,203,744,-93
21,1Ãþ,Cºí·Ï,1,4,1Ãþ Cºí·Ï1¿­ 4,145,745,-93
22,1Ãþ,Cºí·Ï,1,5,1Ãþ Cºí·Ï1¿­ 5,87,746,-93
23,1Ãþ,Cºí·Ï,1,6,1Ãþ Cºí·Ï1¿­ 6,29,747,-93
24,1Ãþ,Cºí·Ï,1,7,1Ãþ Cºí·Ï1¿­ 7,-29,747,-93
25,1Ãþ,Cºí·Ï,1,8,1Ãþ Cºí·Ï1¿­ 8,-87,746,-93
26,1Ãþ,Cºí·Ï,1,9,1Ãþ Cºí·Ï1¿­ 9,-145,745,-93
27,1Ãþ,Cºí·Ï,1,10,1Ãþ Cºí·Ï1¿­ 10,-203,744,-93
28,1Ãþ,Cºí·Ï,1,11,1Ãþ Cºí·Ï1¿­ 11,-261,740,-93
29,1Ãþ,Cºí·Ï,1,12,1Ãþ Cºí·Ï1¿­ 12,-319,737,-93
30,1Ãþ,Dºí·Ï,1,1,1Ãþ Dºí·Ï1¿­ 1,-484,725,-93
31,1Ãþ,Dºí·Ï,1,2,1Ãþ Dºí·Ï1¿­ 2,-539,720,-93
32,1Ãþ,Dºí·Ï,1,3,1Ãþ Dºí·Ï1¿­ 3,-595,715,-93
33,1Ãþ,Dºí·Ï,1,4,1Ãþ Dºí·Ï1¿­ 4,-650,706,-93
34,1Ãþ,Dºí·Ï,1,5,1Ãþ Dºí·Ï1¿­ 5,-706,699,-93
35,1Ãþ,Dºí·Ï,1,6,1Ãþ Dºí·Ï1¿­ 6,-761,691,-93
36,1Ãþ,Dºí·Ï,1,7,1Ãþ Dºí·Ï1¿­ 7,-816,682,-93
37,1Ãþ,Dºí·Ï,1,8,1Ãþ Dºí·Ï1¿­ 8,-871,673,-93
38,1Ãþ,Dºí·Ï,1,9,1Ãþ Dºí·Ï1¿­ 9,-927,664,-93
39,1Ãþ,Eºí·Ï,1,1,1Ãþ Eºí·Ï1¿­ 1,-1086,633,-93
40,1Ãþ,Eºí·Ï,1,2,1Ãþ Eºí·Ï1¿­ 2,-1133,624,-93
41,1Ãþ,Eºí·Ï,1,3,1Ãþ Eºí·Ï1¿­ 3,-1178,613,-93
42,1Ãþ,Eºí·Ï,1,4,1Ãþ Eºí·Ï1¿­ 4,-1224,602,-93
43,1Ãþ,Eºí·Ï,1,5,1Ãþ Eºí·Ï1¿­ 5,-1270,591,-93
44,1Ãþ,Eºí·Ï,1,6,1Ãþ Eºí·Ï1¿­ 6,-1315,580,-93
45,1Ãþ,Eºí·Ï,1,7,1Ãþ Eºí·Ï1¿­ 7,-1361,568,-93
46,1Ãþ,Eºí·Ï,1,8,1Ãþ Eºí·Ï1¿­ 8,-1406,555,-93
47,1Ãþ,Eºí·Ï,1,9,1Ãþ Eºí·Ï1¿­ 9,-1451,542,-93
