층,블록,열,넘버,전체_좌석,X,Y,Z,대칭점,무대까지의 거리,좌우면적시야각,상하면적시야각,좌우시야각,상하시야각,주성분
1층,A블록,1,1,1층 A블록1열 1,1451,542,-93,1층 E블록1열 9,1551.7132467050735,15.219900047444442,33.94842128206776,69.51755518210676,3.436010308032837,-738.6948498930266
1층,A블록,1,2,1층 A블록1열 2,1406,555,-93,1층 E블록1열 8,1514.4338876293016,16.945593593465937,34.33174592908232,68.45902408146156,3.520696590701476,-775.996888218655
1층,A블록,1,3,1층 A블록1열 3,1361,568,-93,1층 E블록1열 7,1477.6988867830955,18.869853062440274,34.695385034111425,67.34726140781783,3.60833417572174,-812.7573974574989
1층,A블록,1,4,1층 A블록1열 4,1315,580,-93,1층 E블록1열 6,1440.2340087638536,21.00973641341288,35.06957521659292,66.19942025043817,3.702327143374511,-850.250969505318
1층,A블록,1,5,1층 A블록1열 5,1270,591,-93,1층 E블록1열 5,1403.862528882369,23.31483279342832,35.42695772728832,65.04488225540484,3.798386570368116,-886.6536226179633
1층,A블록,1,6,1층 A블록1열 6,1224,602,-93,1층 E블록1열 4,1367.197498534868,25.933996690899505,35.76936127604812,63.8106534675788,3.900405964954687,-923.3542615241519
1층,A블록,1,7,1층 A블록1열 7,1178,613,-93,1층 E블록1열 3,1331.2032151403482,28.854376670493263,36.07765180500069,62.50872523102828,4.006038602266064,-959.3883678972079
1층,A블록,1,8,1층 A블록1열 8,1133,624,-93,1층 E블록1열 2,1296.8091609793632,32.03295418660579,36.33340107116199,61.15621519402476,4.112467468646384,-993.8257928047562
1층,A블록,1,9,1층 A블록1열 9,1086,633,-93,1층 E블록1열 1,1260.4499196715433,35.59621731784272,36.623333077819495,59.76324872455131,4.231309779514558,-1030.2341379611837
1층,B블록,1,1,1층 B블록1열 1,927,664,-93,1층 D블록1열 9,1144.060313095424,50.30501325842653,37.15420539354373,54.38638738311231,4.662685515002913,-1146.8255209909457
1층,B블록,1,2,1층 B블록1열 2,871,673,-93,1층 D블록1열 8,1104.635233912082,56.24053905361121,37.19983720745719,52.30763176085364,4.829487872151476,-1186.3316580047356
1층,B블록,1,3,1층 B블록1열 3,816,682,-93,1층 D블록1열 7,1067.5340743976278,62.28224548231501,37.102654945188405,50.11165153285032,4.997752012187373,-1223.5143556592798
1층,B블록,1,4,1층 B블록1열 4,761,691,-93,1층 D블록1열 6,1032.109974760442,68.33738901668183,36.84401686264259,47.76005629565309,5.16974416108542,-1259.0187930387167
1층,B블록,1,5,1층 B블록1열 5,706,699,-93,1층 D블록1열 5,997.8406686440476,74.24168728378953,36.44150179961568,45.28545703781719,5.347799801117358,-1293.3649276132585
1층,B블록,1,6,1층 B블록1열 6,650,706,-93,1층 D블록1열 4,964.1498846133832,79.95910687199668,35.86361603374496,42.63514643964504,5.535244303900735,-1327.128067412305
1층,B블록,1,7,1층 B블록1열 7,595,715,-93,1층 D블록1열 3,934.8256521940334,84.96366578449269,34.92801056302407,39.76613835278357,5.709445664449032,-1356.5110551006458
1층,B블록,1,8,1층 B블록1열 8,539,720,-93,1층 D블록1열 2,904.195775261088,89.75819165892578,33.89437965607769,36.81893410179003,5.903530647611761,-1387.1954330044368
1층,B블록,1,9,1층 B블록1열 9,484,725,-93,1층 D블록1열 1,876.6584283516585,93.8796380004914,32.540075590427364,33.72652681441736,6.089661309412993,-1414.7744727308166
1층,C블록,1,1,1층 C블록1열 1,319,737,-93,1층 C블록1열 12,808.4423294212148,103.01970792458086,26.216617933108413,23.40468955103232,6.605703488627012,-1483.046443830538
1층,C블록,1,2,1층 C블록1열 2,261,740,-93,1층 C블록1열 11,790.1708675976355,105.19164846146091,23.08840700441635,19.427883878369723,6.759154390484013,-1501.3134443675995
1층,C블록,1,3,1층 C블록1열 3,203,744,-93,1층 C블록1열 10,776.7843973716259,106.7165739277685,19.432494074145623,15.26163477030059,6.876193782718223,-1514.680966388858
1층,C블록,1,4,1층 C블록1열 4,145,745,-93,1층 C블록1열 9,764.6561318658211,108.03312108691676,15.60828107986386,11.013832890351413,6.985796939182429,-1526.7856010853507
1층,C블록,1,5,1층 C블록1열 5,87,746,-93,1층 C블록1열 8,756.7919132760339,108.86286549410042,11.861150488870218,6.651899278214668,7.058757570826749,-1534.6203451852177
1층,C블록,1,6,1층 C블록1열 6,29,747,-93,1층 C블록1열 7,753.3252949423642,109.22177954220224,9.190444907478048,2.223217689773466,7.0914067397059135,-1538.0624386836946
1층,C블록,1,7,1층 C블록1열 7,-29,747,-93,1층 C블록1열 6,753.3252949423642,109.22177954220224,9.190444907478048,-2.223217689773466,7.0914067397059135,-1538.0612291051248
1층,C블록,1,8,1층 C블록1열 8,-87,746,-93,1층 C블록1열 5,756.7919132760339,108.86286549410042,11.861150488870218,-6.651899278214668,7.058757570826749,-1534.6167261087533
1층,C블록,1,9,1층 C블록1열 9,-145,745,-93,1층 C블록1열 4,764.6561318658211,108.03312108691676,15.60828107986386,-11.013832890351413,6.985796939182429,-1526.7796088263383
1층,C블록,1,10,1층 C블록1열 10,-203,744,-93,1층 C블록1열 3,776.7843973716259,106.7165739277685,19.432494074145623,-15.26163477030059,6.876193782718223,-1514.672663042566
1층,C블록,1,11,1층 C블록1열 11,-261,740,-93,1층 C블록1열 2,790.1708675976355,105.19164846146091,23.08840700441635,-19.427883878369723,6.759154390484013,-1501.3028743041693
1층,C블록,1,12,1층 C블록1열 12,-319,737,-93,1층 C블록1열 1,808.4423294212148,103.01970792458086,26.216617933108413,-23.40468955103232,6.605703488627012,-1483.0337101198234
1층,D블록,1,1,1층 D블록1열 1,-484,725,-93,1층 B블록1열 9,876.6584283516585,93.8796380004914,32.540075590427364,-33.72652681441736,6.089661309412993,-1414.756123252822
1층,D블록,1,2,1층 D블록1열 2,-539,720,-93,1층 B블록1열 8,904.195775261088,89.75819165892578,33.89437965607769,-36.81893410179003,5.903530647611761,-1387.1754010508118
1층,D블록,1,3,1층 D블록1열 3,-595,715,-93,1층 B블록1열 7,934.8256521940334,84.96366578449269,34.92801056302407,-39.76613835278357,5.709445664449032,-1356.489419671518
1층,D블록,1,4,1층 D블록1열 4,-650,706,-93,1층 B블록1열 6,964.1498846133832,79.95910687199668,35.86361603374496,-42.63514643964504,5.535244303900735,-1327.1048710515984
1층,D블록,1,5,1층 D블록1열 5,-706,699,-93,1층 B블록1열 5,997.8406686440476,74.24168728378953,36.44150179961568,-45.28545703781719,5.347799801117358,-1293.3402893069801
1층,D블록,1,6,1층 D블록1열 6,-761,691,-93,1층 B블록1열 4,1032.109974760442,68.33738901668183,36.84401686264259,-47.76005629565309,5.16974416108542,-1258.992808385544
1층,D블록,1,7,1층 D블록1열 7,-816,682,-93,1층 B블록1열 3,1067.5340743976278,62.28224548231501,37.102654945188405,-50.11165153285032,4.997752012187373,-1223.4870915815968
1층,D블록,1,8,1층 D블록1열 8,-871,673,-93,1층 B블록1열 2,1104.635233912082,56.24053905361121,37.19983720745719,-52.30763176085364,4.829487872151476,-1186.3031991674766
1층,D블록,1,9,1층 D블록1열 9,-927,664,-93,1층 B블록1열 1,1144.060313095424,50.30501325842653,37.15420539354373,-54.38638738311231,4.662685515002913,-1146.795931172108
1층,E블록,1,1,1층 E블록1열 1,-1086,633,-93,1층 A블록1열 9,1260.4499196715433,35.59621731784272,36.623333077819495,-59.76324872455131,4.231309779514558,-1030.2016227714828
1층,E블록,1,2,1층 E블록1열 2,-1133,624,-93,1층 A블록1열 8,1296.8091609793632,32.03295418660579,36.33340107116199,-61.15621519402476,4.112467468646384,-993.792519748474
1층,E블록,1,3,1층 E블록1열 3,-1178,613,-93,1층 A블록1열 7,1331.2032151403482,28.854376670493263,36.07765180500069,-62.50872523102828,4.006038602266064,-959.3543589853396
1층,E블록,1,4,1층 E블록1열 4,-1224,602,-93,1층 A블록1열 6,1367.197498534868,25.933996690899505,35.76936127604812,-63.8106534675788,3.900405964954687,-923.3195442765671
1층,E블록,1,5,1층 E블록1열 5,-1270,591,-93,1층 A블록1열 5,1403.862528882369,23.31483279342832,35.42695772728832,-65.04488225540484,3.798386570368116,-886.6182338676737
1층,E블록,1,6,1층 E블록1열 6,-1315,580,-93,1층 A블록1열 4,1440.2340087638536,21.00973641341288,35.06957521659292,-66.19942025043817,3.702327143374511,-850.214952609425
1층,E블록,1,7,1층 E블록1열 7,-1361,568,-93,1층 A블록1열 3,1477.6988867830955,18.869853062440274,34.695385034111425,-67.34726140781783,3.60833417572174,-812.7207560595286
1층,E블록,1,8,1층 E블록1열 8,-1406,555,-93,1층 A블록1열 2,1514.4338876293016,16.945593593465937,34.33174592908232,-68.45902408146156,3.520696590701476,-775.9596419477067
