층,블록,열,넘버,전체_좌석,X,Y,Z,대칭점,무대까지의 거리,좌우면적시야각,상하면적시야각
1층,A블록,1,1,1층 A블록1열 1,1451,542,-93,1층 E블록1열 9,1551.7132467050735,15.219900047444442,33.94842128206776
1층,A블록,1,2,1층 A블록1열 2,1406,555,-93,1층 E블록1열 8,1514.4338876293016,16.945593593465937,34.33174592908232
1층,A블록,1,3,1층 A블록1열 3,1361,568,-93,1층 E블록1열 7,1477.6988867830955,18.869853062440274,34.695385034111425
1층,A블록,1,4,1층 A블록1열 4,1315,580,-93,1층 E블록1열 6,1440.2340087638536,21.00973641341288,35.06957521659292
1층,A블록,1,5,1층 A블록1열 5,1270,591,-93,1층 E블록1열 5,1403.862528882369,23.314832793428316,35.42695772728832
1층,A블록,1,6,1층 A블록1열 6,1224,602,-93,1층 E블록1열 4,1367.197498534868,25.933996690899505,35.769361276048116
1층,A블록,1,7,1층 A블록1열 7,1178,613,-93,1층 E블록1열 3,1331.2032151403482,28.854376670493266,36.07765180500069
1층,A블록,1,8,1층 A블록1열 8,1133,624,-93,1층 E블록1열 2,1296.8091609793632,32.03295418660579,36.33340107116199
1층,A블록,1,9,1층 A블록1열 9,1086,633,-93,1층 E블록1열 1,1260.4499196715433,35.59621731784272,36.623333077819495
1층,B블록,1,1,1층 B블록1열 1,927,664,-93,1층 D블록1열 9,1144.0603130954241,50.30501325842653,37.15420539354373
1층,B블록,1,2,1층 B블록1열 2,871,673,-93,1층 D블록1열 8,1104.635233912082,56.24053905361121,37.199837207457186
1층,B블록,1,3,1층 B블록1열 3,816,682,-93,1층 D블록1열 7,1067.5340743976278,62.28224548231501,37.102654945188405
1층,B블록,1,4,1층 B블록1열 4,761,691,-93,1층 D블록1열 6,1032.109974760442,68.33738901668183,36.84401686264259
1층,B블록,1,5,1층 B블록1열 5,706,699,-93,1층 D블록1열 5,997.8406686440476,74.24168728378953,36.44150179961568
1층,B블록,1,6,1층 B블록1열 6,650,706,-93,1층 D블록1열 4,964.1498846133832,79.95910687199668,35.86361603374496
1층,B블록,1,7,1층 B블록1열 7,595,715,-93,1층 D블록1열 3,934.8256521940334,84.96366578449269,34.92801056302407
1층,B블록,1,8,1층 B블록1열 8,539,720,-93,1층 D블록1열 2,904.195775261088,89.75819165892578,33.89437965607769
1층,B블록,1,9,1층 B블록1열 9,484,725,-93,1층 D블록1열 1,876.6584283516585,93.8796380004914,32.540075590427364
1층,C블록,1,1,1층 C블록1열 1,319,737,-93,1층 C블록1열 12,808.4423294212148,103.01970792458086,26.216617933108413
1층,C블록,1,2,1층 C블록1열 2,261,740,-93,1층 C블록1열 11,790.1708675976355,105.19164846146093,23.08840700441635
1층,C블록,1,3,1층 C블록1열 3,203,744,-93,1층 C블록1열 10,776.7843973716259,106.7165739277685,19.432494074145623
1층,C블록,1,4,1층 C블록1열 4,145,745,-93,1층 C블록1열 9,764.6561318658211,108.03312108691676,15.608281079863861
1층,C블록,1,5,1층 C블록1열 5,87,746,-93,1층 C블록1열 8,756.7919132760339,108.86286549410042,11.861150488870218
1층,C블록,1,6,1층 C블록1열 6,29,747,-93,1층 C블록1열 7,753.3252949423642,109.22177954220224,9.190444907478048
1층,C블록,1,7,1층 C블록1열 7,-29,747,-93,1층 C블록1열 6,753.3252949423642,109.22177954220224,9.190444907478048
1층,C블록,1,8,1층 C블록1열 8,-87,746,-93,1층 C블록1열 5,756.7919132760339,108.86286549410042,11.861150488870218
1층,C블록,1,9,1층 C블록1열 9,-145,745,-93,1층 C블록1열 4,764.6561318658211,108.03312108691676,15.608281079863861
1층,C블록,1,10,1층 C블록1열 10,-203,744,-93,1층 C블록1열 3,776.7843973716259,106.7165739277685,19.432494074145623
1층,C블록,1,11,1층 C블록1열 11,-261,740,-93,1층 C블록1열 2,790.1708675976355,105.19164846146093,23.08840700441635
1층,C블록,1,12,1층 C블록1열 12,-319,737,-93,1층 C블록1열 1,808.4423294212148,103.01970792458086,26.216617933108413
1층,D블록,1,1,1층 D블록1열 1,-484,725,-93,1층 B블록1열 9,876.6584283516585,93.8796380004914,32.540075590427364
1층,D블록,1,2,1층 D블록1열 2,-539,720,-93,1층 B블록1열 8,904.195775261088,89.75819165892578,33.89437965607769
1층,D블록,1,3,1층 D블록1열 3,-595,715,-93,1층 B블록1열 7,934.8256521940334,84.96366578449269,34.92801056302407
1층,D블록,1,4,1층 D블록1열 4,-650,706,-93,1층 B블록1열 6,964.1498846133832,79.95910687199668,35.86361603374496
1층,D블록,1,5,1층 D블록1열 5,-706,699,-93,1층 B블록1열 5,997.8406686440476,74.24168728378953,36.44150179961568
1층,D블록,1,6,1층 D블록1열 6,-761,691,-93,1층 B블록1열 4,1032.109974760442,68.33738901668183,36.84401686264259
1층,D블록,1,7,1층 D블록1열 7,-816,682,-93,1층 B블록1열 3,1067.5340743976278,62.28224548231501,37.102654945188405
1층,D블록,1,8,1층 D블록1열 8,-871,673,-93,1층 B블록1열 2,1104.635233912082,56.24053905361121,37.199837207457186
1층,D블록,1,9,1층 D블록1열 9,-927,664,-93,1층 B블록1열 1,1144.0603130954241,50.30501325842653,37.15420539354373
1층,E블록,1,1,1층 E블록1열 1,-1086,633,-93,1층 A블록1열 9,1260.4499196715433,35.59621731784272,36.623333077819495
1층,E블록,1,2,1층 E블록1열 2,-1133,624,-93,1층 A블록1열 8,1296.8091609793632,32.03295418660579,36.33340107116199
1층,E블록,1,3,1층 E블록1열 3,-1178,613,-93,1층 A블록1열 7,1331.2032151403482,28.854376670493266,36.07765180500069
1층,E블록,1,4,1층 E블록1열 4,-1224,602,-93,1층 A블록1열 6,1367.197498534868,25.933996690899505,35.769361276048116
1층,E블록,1,5,1층 E블록1열 5,-1270,591,-93,1층 A블록1열 5,1403.862528882369,23.314832793428316,35.42695772728832
1층,E블록,1,6,1층 E블록1열 6,-1315,580,-93,1층 A블록1열 4,1440.2340087638536,21.00973641341288,35.06957521659292
1층,E블록,1,7,1층 E블록1열 7,-1361,568,-93,1층 A블록1열 3,1477.6988867830955,18.869853062440274,34.695385034111425
1층,E블록,1,8,1층 E블록1열 8,-1406,555,-93,1층 A블록1열 2,1514.4338876293016,16.945593593465937,34.33174592908232
1층,E블록,1,9,1층 E블록1열 9,-1451,542,-93,1층 A블록1열 1,1551.7132467050735,15.219900047444442,33.94842128206776
1층,A블록,2,1,1층 A블록2열 1,1478,634,-76,1층 E블록2열 9,1610.0360244416893,17.696109733377096,32.04370409614626
1층,A블록,2,2,1층 A블록2열 2,1432,646,-76,1층 E블록2열 8,1572.8051373262995,19.42005881436502,32.35487735438116
1층,A블록,2,3,1층 A블록2열 3,1386,659,-76,1층 E블록2열 7,1536.5718336608934,21.35143528083405,32.62476865281675
1층,A블록,2,4,1층 A블록2열 4,1339,671,-76,1층 E블록2열 6,1499.645958218139,23.47419782079919,32.897487655705135
1층,A블록,2,5,1층 A블록2열 5,1293,683,-76,1층 E블록2열 5,1464.2793449338824,25.764278910661737,33.128498815640704
1층,A블록,2,6,1층 A블록2열 6,1246,694,-76,1층 E블록2열 4,1428.2604804446562,28.28214363788592,33.35685746838681
1층,A블록,2,7,1층 A블록2열 7,1200,705,-76,1층 E블록2열 3,1393.8439654423303,30.982195998950385,33.53621532509814
1층,A블록,2,8,1층 A블록2열 8,1153,716,-76,1층 E블록2열 2,1359.3531549968905,33.97219006171074,33.6794799194432
1층,A블록,2,9,1층 A블록2열 9,1107,725,-76,1층 E블록2열 1,1325.4621835420278,37.08416920333321,33.817093969784466
1층,B블록,2,1,1층 B블록2열 1,952,756,-76,1층 D블록2열 10,1218.0377662453657,49.194703578875355,33.822205150783425
1층,B블록,2,2,1층 B블록2열 2,900,764,-76,1층 D블록2열 9,1182.9928148556103,53.66283621271867,33.71368187209411
1층,B블록,2,3,1층 B블록2열 3,848,773,-76,1층 D블록2열 8,1149.9604341019738,58.24596950875117,33.454478254699886
