층,블록,열,넘버,전체_좌석,X,Y,Z,대칭점,무대_밑_좌우시야각,무대_위_좌우시야각,무대가_보이는_면적
1층,A블록,1,1,1층 A블록1열 1,1451,542,-93,1층 E블록1열 9,21.80232043384822,36.35742212170355,2162.238505622162
1층,A블록,1,2,1층 A블록1열 2,1406,555,-93,1층 E블록1열 8,22.41184275616602,38.41329567232848,2195.5638288239033
1층,A블록,1,3,1층 A블록1열 3,1361,568,-93,1층 E블록1열 7,23.021977716754403,40.57816751158986,2230.9416965759915
1층,A블록,1,4,1층 A블록1열 4,1315,580,-93,1층 E블록1열 6,23.648286881839024,42.89550127713526,2269.8563630760864
1층,A블록,1,5,1층 A블록1열 5,1270,591,-93,1층 E블록1열 5,24.261871868609173,45.26162431083319,2310.7541360674973
1층,A블록,1,6,1층 A블록1열 6,1224,602,-93,1층 E블록1열 4,24.88710026806733,47.77479730075846,2355.543787228317
1층,A블록,1,7,1층 A블록1열 7,1178,613,-93,1층 E블록1열 3,25.507349874530235,50.37153009730537,2403.478716124662
1층,A블록,1,8,1층 A블록1열 8,1133,624,-93,1층 E블록1열 2,26.105722717688305,52.97672864145738,2453.477838947239
1층,A블록,1,9,1층 A블록1열 9,1086,633,-93,1층 E블록1열 1,26.736015521111113,55.75506449604009,2510.557266311479
1층,B블록,1,1,1층 B블록1열 1,927,664,-93,1층 D블록1열 9,28.776231507932064,65.26480029565936,2732.6003189921726
1층,B블록,1,2,1층 B블록1열 2,871,673,-93,1층 D블록1열 8,29.466511388263644,68.54852077852537,2822.7474770925314
1층,B블록,1,3,1층 B블록1열 3,816,682,-93,1층 D블록1열 7,30.11503976347315,71.66593211252332,2916.0706990579297
1층,B블록,1,4,1층 B블록1열 4,761,691,-93,1층 D블록1열 6,30.73133106283122,74.64063267153598,3013.5586330844294
1층,B블록,1,5,1층 B블록1열 5,706,699,-93,1층 D블록1열 5,31.32299534155554,77.4615149252581,3115.521550390053
1층,B블록,1,6,1층 B블록1열 6,650,706,-93,1층 D블록1열 4,31.899672343987962,80.15842768781036,3223.400733105035
1층,B블록,1,7,1층 B블록1열 7,595,715,-93,1층 D블록1열 3,32.39544306906013,82.53753141547013,3327.2909875081214
1층,B블록,1,8,1층 B블록1열 8,539,720,-93,1층 D블록1열 2,32.90923144370064,84.83237084310342,3439.4873563954634
1층,B블록,1,9,1층 B블록1열 9,484,725,-93,1층 D블록1열 1,33.36547472085918,86.85000492815279,3548.084806312636
1층,C블록,1,1,1층 C블록1열 1,319,737,-93,1층 C블록1열 12,34.46931100452901,91.56007999613433,3850.261172118368
1층,C블록,1,2,1층 C블록1열 2,261,740,-93,1층 C블록1열 11,34.75783319318214,92.74397177459144,3940.1107814899206
1층,C블록,1,3,1층 C블록1열 3,203,744,-93,1층 C블록1열 10,34.96346922478152,93.63056540650217,4011.2442450890017
1층,C블록,1,4,1층 C블록1열 4,145,745,-93,1층 C블록1열 9,35.15310388964217,94.36076871267424,4074.1324541545387
1층,C블록,1,5,1층 C블록1열 5,87,746,-93,1층 C블록1열 8,35.27453690843594,94.83448525210883,4116.516269932764
1층,C블록,1,6,1층 C블록1열 6,29,747,-93,1층 C블록1열 7,35.32663326759183,95.05311519750414,4136.317512462612
1층,C블록,1,7,1층 C블록1열 7,-29,747,-93,1층 C블록1열 6,35.32663326759183,95.05311519750414,4136.317512462612
1층,C블록,1,8,1층 C블록1열 8,-87,746,-93,1층 C블록1열 5,35.27453690843594,94.83448525210883,4116.516269932764
1층,C블록,1,9,1층 C블록1열 9,-145,745,-93,1층 C블록1열 4,35.15310388964217,94.36076871267424,4074.1324541545387
1층,C블록,1,10,1층 C블록1열 10,-203,744,-93,1층 C블록1열 3,34.96346922478152,93.63056540650217,4011.2442450890017
1층,C블록,1,11,1층 C블록1열 11,-261,740,-93,1층 C블록1열 2,34.75783319318214,92.74397177459144,3940.110781489921
