seat,예매여부,좌석 오픈 여부,좌석 별 평균 가격,거래까지걸린시간_시간,거래까지걸린시간_등수,좌석 예매율,층,블록,열,넘버,X,Y,Z,대칭점,무대_밑_좌우시야각,무대_위_좌우시야각,무대가_보이는_면적
1층 A블록10열 1,70,153,20057.14285714286,828.6980952380952,1105.378910050697,0.45751633986928103,1층,A블록,10,1,1747,1347,69,1층 E블록10열 11,17,30,1798
1층 A블록10열 10,96,155,26770.833333333332,693.5850694444445,810.6358500964952,0.6193548387096774,1층,A블록,10,10,1296,1463,69,1층 E블록10열 2,20,43,1945
1층 A블록10열 11,84,143,28119.04761904762,730.8255952380953,793.4704736912745,0.5874125874125874,1층,A블록,10,11,1246,1473,69,1층 E블록10열 1,20,44,1972
1층 A블록10열 2,77,152,21025.974025974025,765.8528138528138,1006.8220586436705,0.506578947368421,1층,A블록,10,2,1698,1361,69,1층 E블록10열 10,17,31,1808
1층 A블록10열 3,73,144,19520.54794520548,788.9479452054794,956.4261861017781,0.5069444444444444,1층,A블록,10,3,1649,1375,69,1층 E블록10열 9,18,33,1818
1층 A블록10열 4,83,155,13325.301204819278,690.3160642570281,962.2197319094928,0.535483870967742,1층,A블록,10,4,1600,1388,69,1층 E블록10열 8,18,34,1831
1층 A블록10열 5,76,147,17355.263157894737,719.9390350877193,949.30338057769,0.5170068027210885,1층,A블록,10,5,1548,1403,69,1층 E블록10열 7,18,35,1845
1층 A블록10열 6,85,150,21823.529411764706,697.474705882353,879.0428930643907,0.5666666666666667,1층,A블록,10,6,1498,1415,69,1층 E블록10열 6,19,37,1860
1층 A블록10열 7,82,139,18341.463414634145,762.3434959349593,799.2060788137272,0.5899280575539568,1층,A블록,10,7,1449,1427,69,1층 E블록10열 5,19,38,1877
1층 A블록10열 8,100,154,17050.0,747.1215,761.8411915581828,0.6493506493506493,1층,A블록,10,8,1399,1439,69,1층 E블록10열 4,19,40,1897
1층 A블록10열 9,85,139,21341.176470588234,753.9213725490196,752.5244100373765,0.6115107913669064,1층,A블록,10,9,1349,1451,69,1층 E블록10열 3,20,41,1919
1층 A블록11열 1,82,158,22426.829268292684,906.495731707317,1028.3163495948656,0.5189873417721519,1층,A블록,11,1,1773,1439,89,1층 E블록11열 11,17,30,1783
1층 A블록11열 10,95,148,31242.105263157893,626.1970175438596,747.7016338359575,0.6418918918918919,1층,A블록,11,10,1315,1556,89,1층 E블록11열 2,19,41,1921
1층 A블록11열 11,102,158,32176.470588235294,649.6589869281045,768.6158137208632,0.6455696202531646,1층,A블록,11,11,1265,1566,89,1층 E블록11열 1,20,43,1946
1층 A블록11열 2,81,151,21962.962962962964,940.829218106996,955.6920855100774,0.5364238410596026,1층,A블록,11,2,1724,1452,89,1층 E블록11열 10,17,31,1792
1층 A블록11열 3,77,143,27454.545454545456,817.13658008658,910.7225442698409,0.5384615384615384,1층,A블록,11,3,1675,1466,89,1층 E블록11열 9,17,32,1802
1층 A블록11열 4,79,146,21316.45569620253,792.9708860759494,911.7222649640995,0.541095890410959,1층,A블록,11,4,1626,1480,89,1층 E블록11열 8,17,33,1813
1층 A블록11열 5,88,159,21590.909090909092,705.0026515151515,957.0018700019835,0.5534591194968553,1층,A블록,11,5,1570,1495,89,1층 E블록11열 7,18,35,1827
1층 A블록11열 6,70,133,17885.714285714286,828.5771428571428,859.3826915264096,0.5263157894736842,1층,A블록,11,6,1521,1507,89,1층 E블록11열 6,18,36,1841
1층 A블록11열 7,93,154,18268.817204301075,761.8697132616487,847.3600521138537,0.6038961038961039,1층,A블록,11,7,1471,1519,89,1층 E블록11열 5,18,37,1857
1층 A블록11열 8,88,147,20556.81818181818,694.3823863636363,815.2706819266245,0.5986394557823129,1층,A블록,11,8,1421,1531,89,1층 E블록11열 4,19,39,1875
1층 A블록11열 9,83,142,22734.939759036144,690.6118473895582,813.6176628450048,0.5845070422535211,1층,A블록,11,9,1368,1544,89,1층 E블록11열 3,19,40,1897
1층 A블록12열 1,74,143,20229.72972972973,846.9268018018018,942.5447872325334,0.5174825174825175,1층,A블록,12,1,1813,1526,109,1층 E블록12열 12,16,29,1769
1층 A블록12열 10,85,143,17647.058823529413,664.8376470588234,800.0362695585296,0.5944055944055944,1층,A블록,12,10,1378,1640,109,1층 E블록12열 3,19,39,1882
1층 A블록12열 11,93,150,30688.172043010753,723.139964157706,784.218311618245,0.62,1층,A블록,12,11,1329,1650,109,1층 E블록12열 2,19,41,1903
1층 A블록12열 12,101,156,34128.71287128713,632.8755775577558,747.6762636454366,0.6474358974358975,1층,A블록,12,12,1280,1660,109,1층 E블록12열 1,19,42,1927
1층 A블록12열 2,89,160,21314.606741573032,848.441947565543,965.2961730340594,0.55625,1층,A블록,12,2,1765,1540,109,1층 E블록12열 11,16,30,1777
1층 A블록12열 3,70,145,16442.85714285714,800.8642857142858,1001.7649988437485,0.4827586206896552,1층,A블록,12,3,1717,1553,109,1층 E블록12열 10,17,31,1785
1층 A블록12열 4,70,148,17642.85714285714,822.9228571428571,1038.4602350367747,0.47297297297297297,1층,A블록,12,4,1668,1567,109,1층 E블록12열 9,17,32,1794
1층 A블록12열 5,75,147,15600.0,699.1266666666667,961.5164202467621,0.5102040816326531,1층,A블록,12,5,1620,1581,109,1층 E블록12열 8,17,34,1805
1층 A블록12열 6,87,156,22402.298850574713,783.577203065134,930.3949414217851,0.5576923076923077,1층,A블록,12,6,1572,1593,109,1층 E블록12열 7,18,35,1817
1층 A블록12열 7,73,138,19356.164383561645,656.1700913242008,884.8263205550929,0.5289855072463768,1층,A블록,12,7,1523,1604,109,1층 E블록12열 6,18,36,1830
1층 A블록12열 8,94,153,20478.72340425532,727.1189716312057,825.8555183843729,0.6143790849673203,1층,A블록,12,8,1475,1616,109,1층 E블록12열 5,18,37,1845
1층 A블록12열 9,85,145,15823.529411764706,716.446862745098,824.7550878599042,0.5862068965517241,1층,A블록,12,9,1426,1628,109,1층 E블록12열 4,18,38,1863
1층 A블록13열 1,71,149,21169.014084507042,851.9838028169014,1039.739647313174,0.47651006711409394,1층,A블록,13,1,1838,1618,130,1층 E블록13열 12,16,29,1759
1층 A블록13열 10,73,139,16123.287671232876,684.6817351598173,891.4100639602118,0.5251798561151079,1층,A블록,13,10,1400,1732,130,1층 E블록13열 3,18,38,1864
1층 A블록13열 11,89,157,30213.483146067414,720.8623595505618,914.0156855073666,0.5668789808917197,1층,A블록,13,11,1347,1743,130,1층 E블록13열 2,18,39,1886
1층 A블록13열 12,91,153,31703.296703296703,627.3809523809524,837.3430473995875,0.5947712418300654,1층,A블록,13,12,1298,1753,130,1층 E블록13열 1,19,41,1909
1층 A블록13열 2,81,155,24049.382716049382,961.3958847736625,1005.2888432078726,0.5225806451612903,1층,A블록,13,2,1790,1631,130,1층 E블록13열 11,16,30,1766
1층 A블록13열 3,78,150,18320.51282051282,927.7356837606837,975.6048797849805,0.52,1층,A블록,13,3,1742,1645,130,1층 E블록13열 10,16,31,1773
1층 A블록13열 4,67,143,20402.985074626864,809.9818407960199,1021.4093632972697,0.46853146853146854,1층,A블록,13,4,1694,1658,130,1층 E블록13열 9,17,32,1782
1층 A블록13열 5,83,158,14108.43373493976,758.2574297188755,1005.3347262772047,0.5253164556962026,1층,A블록,13,5,1646,1672,130,1층 E블록13열 8,17,33,1791
1층 A블록13열 6,82,148,14597.560975609756,848.4487804878049,905.8632684806338,0.5540540540540541,1층,A블록,13,6,1594,1685,130,1층 E블록13열 7,17,34,1803
1층 A블록13열 7,82,148,23975.60975609756,875.1522357723578,900.2680427853738,0.5540540540540541,1층,A블록,13,7,1546,1697,130,1층 E블록13열 6,17,35,1815
1층 A블록13열 8,85,147,22611.764705882353,801.7266666666666,859.4117746499089,0.5782312925170068,1층,A블록,13,8,1497,1708,130,1층 E블록13열 5,18,36,1830
1층 A블록13열 9,90,155,18177.777777777777,733.1535185185185,884.727311022289,0.5806451612903226,1층,A블록,13,9,1449,1720,130,1층 E블록13열 4,18,37,1846
1층 A블록15열 1,82,152,20719.51219512195,846.6558943089432,950.9685668158706,0.5394736842105263,1층,A블록,15,1,1878,1829,172,1층 E블록15열 12,15,28,1748
1층 A블록15열 10,151,162,0.0,667.0485651214128,229.78395061728395,0.9320987654320988,1층,A블록,15,10,1439,1943,172,1층 E블록15열 3,17,36,1840
1층 A블록15열 11,151,162,0.0,667.0485651214128,229.78395061728395,0.9320987654320988,1층,A블록,15,11,1387,1954,172,1층 E블록15열 2,17,37,1860
1층 A블록15열 12,151,162,0.0,667.0485651214128,229.78395061728395,0.9320987654320988,1층,A블록,15,12,1338,1964,172,1층 E블록15열 1,18,38,1880
1층 A블록15열 2,84,150,17738.095238095237,901.507738095238,915.9272836144643,0.56,1층,A블록,15,2,1830,1843,172,1층 E블록15열 11,15,29,1754
1층 A블록15열 3,81,152,20716.04938271605,920.3594650205762,979.4123011359143,0.5328947368421053,1층,A블록,15,3,1782,1856,172,1층 E블록15열 10,16,30,1760
1층 A블록15열 4,76,143,16907.894736842107,759.868201754386,919.3961783222903,0.5314685314685315,1층,A블록,15,4,1733,1869,172,1층 E블록15열 9,16,31,1767
1층 A블록15열 5,88,154,15147.727272727272,834.9253787878788,911.0133214746373,0.5714285714285714,1층,A블록,15,5,1685,1883,172,1층 E블록15열 8,16,32,1775
1층 A블록15열 6,83,150,19734.939759036144,800.5335341365461,923.6367217396822,0.5533333333333333,1층,A블록,15,6,1634,1896,172,1층 E블록15열 7,16,33,1785
1층 A블록15열 7,81,151,22641.975308641977,664.2109053497943,949.998937986974,0.5364238410596026,1층,A블록,15,7,1585,1908,172,1층 E블록15열 6,16,34,1796
1층 A블록15열 8,81,128,27123.456790123455,680.1427983539095,676.7013607885604,0.6328125,1층,A블록,15,8,1537,1920,172,1층 E블록15열 5,17,35,1809
1층 A블록15열 9,151,162,0.0,667.0488962472406,229.79012345679013,0.9320987654320988,1층,A블록,15,9,1488,1932,172,1층 E블록15열 4,17,35,1824
1층 A블록16열 1,76,156,16894.736842105263,818.5684210526315,1073.7231497817509,0.48717948717948717,1층,A블록,16,1,1825,1943,194,1층 E블록16열 11,15,29,1751
1층 A블록16열 10,89,148,21831.460674157304,738.7786516853932,824.5823492428076,0.6013513513513513,1층,A블록,16,10,1401,2048,194,1층 E블록16열 2,17,36,1850
1층 A블록16열 11,106,160,29735.849056603773,723.1301886792453,759.7261079785991,0.6625,1층,A블록,16,11,1354,2058,194,1층 E블록16열 1,17,37,1869
1층 A블록16열 2,82,154,15817.073170731708,876.7668699186992,987.9184948635814,0.5324675324675324,1층,A블록,16,2,1778,1956,194,1층 E블록16열 10,15,30,1757
1층 A블록16열 3,76,148,14855.263157894737,845.5182017543859,985.6002609049149,0.5135135135135135,1층,A블록,16,3,1732,1969,194,1층 E블록16열 9,16,31,1764
1층 A블록16열 4,78,149,12384.615384615385,889.3382478632478,976.0788150460569,0.5234899328859061,1층,A블록,16,4,1685,1982,194,1층 E블록16열 8,16,32,1771
1층 A블록16열 5,81,160,13802.469135802468,841.1444444444444,1063.3483210505228,0.50625,1층,A블록,16,5,1638,1993,194,1층 E블록16열 7,16,32,1780
1층 A블록16열 6,72,138,17291.666666666668,797.7212962962963,915.8247932631774,0.5217391304347826,1층,A블록,16,6,1590,2005,194,1층 E블록16열 6,16,33,1791
1층 A블록16열 7,88,154,16079.545454545454,778.5429924242424,910.0776132839984,0.5714285714285714,1층,A블록,16,7,1543,2016,194,1층 E블록16열 5,16,34,1803
1층 A블록16열 8,84,148,14476.190476190477,759.131746031746,887.330243304122,0.5675675675675675,1층,A블록,16,8,1496,2028,194,1층 E블록16열 4,17,35,1817
1층 A블록16열 9,78,143,15820.51282051282,730.8544871794873,896.8311502552546,0.5454545454545454,1층,A블록,16,9,1449,2039,194,1층 E블록16열 3,17,36,1833
1층 A블록17열 1,74,159,19972.972972972973,834.935135135135,1115.1795240218291,0.46540880503144655,1층,A블록,17,1,1834,2039,216,1층 E블록17열 11,15,29,1747
1층 A블록17열 10,89,160,23067.415730337078,738.6142322097379,962.9148916061506,0.55625,1층,A블록,17,10,1419,2142,216,1층 E블록17열 2,16,35,1841
1층 A블록17열 11,83,148,24120.481927710844,771.3672690763052,884.2905855356986,0.5608108108108109,1층,A블록,17,11,1373,2151,216,1층 E블록17열 1,17,36,1859
1층 A블록17열 2,72,150,17750.0,813.6145833333334,1038.1551300846413,0.48,1층,A블록,17,2,1789,2052,216,1층 E블록17열 10,15,30,1753
1층 A블록17열 3,72,146,19263.88888888889,775.2969907407407,997.9176974490048,0.4931506849315068,1층,A블록,17,3,1743,2066,216,1층 E블록17열 9,15,30,1759
1층 A블록17열 4,87,159,19264.367816091955,841.8607279693487,975.1100781151546,0.5471698113207547,1층,A블록,17,4,1697,2077,216,1층 E블록17열 8,15,31,1766
1층 A블록17열 5,79,147,16189.87341772152,865.5084388185654,932.8890286973623,0.5374149659863946,1층,A블록,17,5,1651,2088,216,1층 E블록17열 7,16,32,1775
1층 A블록17열 6,83,150,24024.09638554217,743.6704819277109,916.6191366489421,0.5533333333333333,1층,A블록,17,6,1604,2099,216,1층 E블록17열 6,16,33,1785
1층 A블록17열 7,81,147,16395.061728395063,774.5619341563786,902.4906703167425,0.5510204081632653,1층,A블록,17,7,1558,2110,216,1층 E블록17열 5,16,33,1796
1층 A블록17열 8,86,153,17162.79069767442,810.6267441860465,917.6315933969831,0.5620915032679739,1층,A블록,17,8,1512,2122,216,1층 E블록17열 4,16,34,1809
1층 A블록17열 9,74,146,18027.027027027027,782.8828828828829,972.9010472888024,0.5068493150684932,1층,A블록,17,9,1466,2132,216,1층 E블록17열 3,16,35,1824
1층 A블록18열 1,72,157,15569.444444444445,873.3305555555556,1120.3933707330627,0.4585987261146497,1층,A블록,18,1,1807,2146,238,1층 E블록18열 10,15,29,1748
1층 A블록18열 10,96,160,24020.833333333332,803.2758680555556,880.3909777638123,0.6,1층,A블록,18,10,1392,2244,238,1층 E블록18열 1,16,35,1849
1층 A블록18열 2,69,146,15536.231884057972,753.8746376811594,1028.4068746560856,0.4726027397260274,1층,A블록,18,2,1762,2159,238,1층 E블록18열 9,15,30,1754
1층 A블록18열 3,81,152,15086.41975308642,874.7637860082305,968.9774660838566,0.5328947368421053,1층,A블록,18,3,1716,2170,238,1층 E블록18열 8,15,31,1761
1층 A블록18열 4,86,157,18302.325581395347,866.0887596899224,967.1470366277289,0.5477707006369427,1층,A블록,18,4,1669,2181,238,1층 E블록18열 7,15,31,1769
1층 A블록18열 5,76,142,18263.157894736843,817.2370614035087,908.8590467844522,0.5352112676056338,1층,A블록,18,5,1623,2192,238,1층 E블록18열 6,15,32,1778
1층 A블록18열 6,83,152,12012.048192771084,856.740562248996,955.5748609756113,0.5460526315789473,1층,A블록,18,6,1577,2204,238,1층 E블록18열 5,16,33,1789
1층 A블록18열 7,80,147,10600.0,815.7385416666667,921.9758949263713,0.54421768707483,1층,A블록,18,7,1531,2216,238,1층 E블록18열 4,16,33,1802
1층 A블록18열 8,80,146,17962.5,802.4220833333334,906.6617319093016,0.547945205479452,1층,A블록,18,8,1485,2225,238,1층 E블록18열 3,16,34,1816
1층 A블록18열 9,88,151,19420.454545454544,808.5549242424241,872.0435795740334,0.5827814569536424,1층,A블록,18,9,1438,2235,238,1층 E블록18열 2,16,35,1832
1층 A블록19열 1,75,148,21640.0,726.185111111111,989.2732617111947,0.5067567567567568,1층,A블록,19,1,1779,2252,261,1층 E블록19열 9,15,29,1749
1층 A블록19열 2,88,156,23409.090909090908,717.8443181818182,944.7570941241283,0.5641025641025641,1층,A블록,19,2,1733,2263,261,1층 E블록19열 8,15,30,1756
1층 A블록19열 3,81,146,20938.271604938273,723.0681069958847,897.1255954500397,0.5547945205479452,1층,A블록,19,3,1687,2275,261,1층 E블록19열 7,15,31,1763
1층 A블록19열 4,84,150,22642.85714285714,733.0696428571429,905.486258766156,0.56,1층,A블록,19,4,1641,2286,261,1층 E블록19열 6,15,31,1772
1층 A블록19열 5,81,143,19987.654320987655,779.5625514403292,876.4689710227833,0.5664335664335665,1층,A블록,19,5,1595,2297,261,1층 E블록19열 5,15,32,1783
1층 A블록19열 6,96,153,21958.333333333332,841.7798611111111,814.8283734522197,0.6274509803921569,1층,A블록,19,6,1549,2309,261,1층 E블록19열 4,15,32,1795
1층 A블록19열 7,84,144,23690.47619047619,858.0815476190477,851.9664526721153,0.5833333333333334,1층,A블록,19,7,1502,2319,261,1층 E블록19열 3,16,33,1809
1층 A블록19열 8,96,155,18895.833333333332,852.4506944444444,832.5187852904276,0.6193548387096774,1층,A블록,19,8,1456,2328,261,1층 E블록19열 2,16,34,1825
1층 A블록19열 9,85,149,18505.882352941175,776.1943137254901,876.6525478504971,0.5704697986577181,1층,A블록,19,9,1409,2338,261,1층 E블록19열 1,16,34,1842
1층 A블록1열 1,59,149,21050.84745762712,655.7237288135593,1143.2128068899847,0.3959731543624161,1층,A블록,1,1,1451,542,-93,1층 E블록1열 9,21,36,2162
1층 A블록1열 2,74,150,25837.837837837837,663.4058558558559,1008.8725448570798,0.49333333333333335,1층,A블록,1,2,1406,555,-93,1층 E블록1열 8,22,38,2195
1층 A블록1열 3,82,158,32195.121951219513,677.9813008130081,1010.9478864733021,0.5189873417721519,1층,A블록,1,3,1361,568,-93,1층 E블록1열 7,23,40,2230
1층 A블록1열 4,68,139,33779.41176470588,716.3914215686275,965.7102680864232,0.4892086330935252,1층,A블록,1,4,1315,580,-93,1층 E블록1열 6,23,42,2269
1층 A블록1열 5,72,154,25708.333333333332,610.994212962963,1074.766400908921,0.4675324675324675,1층,A블록,1,5,1270,591,-93,1층 E블록1열 5,24,45,2310
1층 A블록1열 6,69,152,29637.681159420288,786.3867149758454,1094.5700960684944,0.45394736842105265,1층,A블록,1,6,1224,602,-93,1층 E블록1열 4,24,47,2355
