공연시간,금액명시비율,예약율,knn_n_neighbors,knn_mse,kmeans_군집수,kmeans_실루엣,평균가격,최소가격,최대가격,등급별가격비율,등급별가격,등급별좌석수,등급별예매율,등급별가격_1,등급별가격_2,등급별가격_3,등급별가격_4,등급별가격_5
2018-11-25 17:00:00,0.026,0.62,49,,3,0.950410290530051,58287.43,0,100000,"[0.0, 1.0, 1.99]","[0, 50232, 100000]","[274, 1549, 682]","[0.0, 0.5694, 0.9853]",0.0,1.0,1.99,,
2018-12-08 17:00:00,0.021,0.862,43,,4,0.9717504408913307,64247.5,0,100000,"[0.0, 1.0, 1.71, 3.35]","[0, 29859, 51102, 100000]","[274, 355, 762, 1114]","[0.0, 0.9352, 0.9606, 0.9829]",0.0,1.0,1.71,3.35,
2019-01-11 20:00:00,0.386,0.636,50,124.6304768041237,3,0.9230175418717699,96556.89,15000,140000,"[1.0, 1.54, 2.16]","[64828, 100000, 140000]","[931, 971, 603]","[0.5081, 0.6478, 0.8126]",1.0,1.54,2.16,,
2019-02-05 20:00:00,0.023,0.858,45,,4,0.933187353252551,29988.02,0,150000,"[1.0, 4.26, 12.98, 21.08]","[7117, 30344, 92388, 150000]","[274, 2153, 67, 11]","[0.0036, 0.9684, 0.791, 1.0]",1.0,4.26,12.98,21.08,
2019-02-16 17:00:00,0.157,0.476,48,55.01913339824732,6,1.0,25884.23,0,50000,"[0.0, 1.0, 2.0, 4.0, 6.0, 10.0]","[0, 5000, 10000, 20000, 30000, 50000]","[144, 146, 454, 738, 317, 706]","[0.0, 0.1233, 0.5859, 0.5095, 0.5521, 0.5057]",0.0,1.0,2.0,4.0,6.0
2019-02-23 17:00:00,0.062,0.543,48,150.44871794871796,4,0.8782215914990826,35944.11,0,70000,"[0.0, 1.0, 1.87, 2.62]","[0, 26729, 50000, 70000]","[274, 1385, 310, 536]","[0.0, 0.4404, 0.829, 0.9216]",0.0,1.0,1.87,2.62,
2019-03-09 17:00:00,0.394,0.742,48,110.71785714285714,4,0.9980865646966283,65255.49,5000,110000,"[1.0, 1.67, 2.67, 3.68]","[29912, 50000, 80000, 110000]","[738, 551, 664, 552]","[0.6585, 0.7223, 0.8057, 0.7953]",1.0,1.67,2.67,3.68,
2019-03-14 20:00:00,0.688,0.695,49,379.7447801805953,4,0.9994802372979767,160766.47,25000,260000,"[1.0, 1.84, 2.5, 4.34]","[59934, 110000, 150000, 260000]","[606, 395, 619, 885]","[0.8944, 0.7544, 0.6527, 0.5616]",1.0,1.84,2.5,4.34,
2019-05-03 20:00:00,0.171,0.18,50,173.95323565323568,4,1.0,65668.66,30000,100000,"[1.0, 1.67, 2.67, 3.33]","[30000, 50000, 80000, 100000]","[752, 548, 298, 907]","[0.2287, 0.1624, 0.2148, 0.1389]",1.0,1.67,2.67,3.33,
2019-05-08 20:00:00,0.29,0.499,42,48.6580811607697,3,0.8583387247336972,83592.81,0,110000,"[1.0, 13.18, 22.46]","[4745, 62537, 106583]","[274, 674, 1557]","[0.1569, 0.3739, 0.6134]",1.0,13.18,22.46,,
