공연시간,금액명시비율,예약율,knn_n_neighbors,knn_mse,kmeans_군집수,kmeans_실루엣,평균가격,최소가격,최대가격,등급별가격비율,등급별가격,등급별좌석수,등급별예매율,등급별가격_1,등급별가격_2,등급별가격_3,등급별가격_4,등급별가격_5
2018-11-25 17:00:00,0.026,0.62,2,312.588971413647,4,0.8964948617816094,64558.88,0,100000,"[0.0, 1.0, 1.46, 2.1]","[0, 47441, 69243, 99767]","[274, 928, 403, 900]","[0.0, 0.3998, 0.7295, 0.9878]",0.0,1.0,1.46,2.1,
2018-12-08 17:00:00,0.021,0.862,2,50.22581867021601,5,0.9170779230750375,53089.82,0,100000,"[0.0, 1.0, 1.69, 2.45, 3.41]","[0, 29308, 49397, 71921, 100000]","[274, 491, 920, 315, 505]","[0.0, 0.945, 0.9641, 1.0, 0.9762]",0.0,1.0,1.69,2.45,3.41
2019-01-11 20:00:00,0.386,0.636,6,246.92528611046532,3,0.8529613046139715,99149.7,50000,140000,"[1.0, 1.59, 2.19]","[63631, 100939, 139255]","[913, 820, 772]","[0.5093, 0.6354, 0.785]",1.0,1.59,2.19,,
2019-02-05 20:00:00,0.023,0.858,1,307.0,6,0.9589392643284858,71129.74,0,150000,"[1.0, 4.22, 7.03, 9.84, 14.05, 21.08]","[7117, 30000, 50000, 70000, 100000, 150000]","[274, 444, 483, 318, 628, 358]","[0.0036, 0.9595, 0.942, 0.9654, 0.9602, 1.0]",1.0,4.22,7.03,9.84,14.05
2019-02-16 17:00:00,0.157,0.476,12,28.24275101530166,5,0.7392701814534112,26137.72,0,50000,"[1.0, 4.75, 9.09, 14.38, 20.63]","[2372, 11265, 21559, 34109, 48937]","[274, 573, 622, 387, 649]","[0.0073, 0.4747, 0.5868, 0.584, 0.5039]",1.0,4.75,9.09,14.38,20.63
2019-02-23 17:00:00,0.062,0.543,1,42.79166666666667,4,0.8905688622754491,37073.85,0,70000,"[0.0, 1.0, 1.9, 2.67]","[0, 26253, 50000, 70000]","[274, 1169, 608, 454]","[0.0, 0.3755, 0.8339, 0.9141]",0.0,1.0,1.9,2.67,
2019-03-09 17:00:00,0.394,0.742,6,158.66786948811702,4,0.8690579766321247,67125.75,30000,110000,"[1.0, 1.69, 2.62, 3.55]","[30611, 51683, 80170, 108532]","[671, 597, 617, 620]","[0.6453, 0.7102, 0.8185, 0.8]",1.0,1.69,2.62,3.55,
2019-03-14 20:00:00,0.688,0.695,18,894.4243245544969,4,0.9236525271016518,162225.55,60000,260000,"[1.0, 1.86, 2.51, 4.29]","[60075, 111701, 150583, 257767]","[603, 432, 532, 938]","[0.8955, 0.6944, 0.6842, 0.5725]",1.0,1.86,2.51,4.29,
2019-05-03 20:00:00,0.171,0.18,11,99.40576738388894,4,0.7482499112433414,66002.0,30000,100000,"[1.0, 1.57, 2.26, 3.19]","[30470, 47713, 68857, 97335]","[638, 446, 481, 940]","[0.2696, 0.1704, 0.131, 0.1489]",1.0,1.57,2.26,3.19,
2019-05-08 20:00:00,0.29,0.499,11,52.3761190467667,3,0.7823460752201286,83223.55,0,110000,"[1.0, 13.67, 21.95]","[4745, 64859, 104126]","[274, 640, 1591]","[0.1569, 0.3703, 0.6097]",1.0,13.67,21.95,,
2019-05-14 20:00:00,0.399,0.406,1,341.49313358302123,4,0.9777072708290833,131928.14,50000,180000,"[1.0, 1.83, 2.57, 3.3]","[54520, 100000, 140000, 180000]","[500, 345, 752, 908]","[0.392, 0.5101, 0.4721, 0.3183]",1.0,1.83,2.57,3.3,
2019-05-19 17:00:00,0.675,0.764,7,57.34333396265563,4,0.9805791402013311,83081.84,50000,120000,"[1.0, 1.4, 1.8, 2.39]","[50032, 70134, 90099, 119620]","[633, 447, 859, 566]","[0.8483, 0.7159, 0.7334, 0.7527]",1.0,1.4,1.8,2.39,
2019-06-04 20:00:00,0.008,0.706,3,47.47094056347363,3,0.8688015195715976,24207.58,0,50000,"[0.0, 1.0, 2.07]","[0, 24000, 49710]","[274, 1955, 276]","[0.0, 0.7632, 1.0]",0.0,1.0,2.07,,
2019-06-12 20:00:00,0.026,0.981,3,71.42857142857142,3,0.9395608994091708,70319.36,0,100000,"[0.0, 1.0, 1.92]","[0, 51190, 98297]","[274, 916, 1315]","[1.0, 0.9672, 0.9863]",0.0,1.0,1.92,,
2019-06-21 20:00:00,0.126,0.138,10,177.80241096562253,4,0.7119022370957643,62906.19,0,100000,"[0.0, 1.0, 1.77, 2.35]","[0, 42042, 74330, 98783]","[274, 769, 784, 678]","[0.0, 0.1821, 0.0931, 0.1962]",0.0,1.0,1.77,2.35,
2019-07-02 20:00:00,0.579,0.785,4,262.8508023394962,4,0.9002917043311209,180538.92,60000,250000,"[1.0, 1.91, 2.55, 3.17]","[78639, 150491, 200792, 249371]","[573, 438, 644, 850]","[0.7609, 0.8356, 0.7453, 0.8059]",1.0,1.91,2.55,3.17,
2019-07-04 20:00:00,0.399,0.401,12,172.52138056903482,4,0.8000438978751763,98417.17,50000,150000,"[1.0, 1.65, 2.27, 2.89]","[51476, 84881, 116611, 148582]","[586, 841, 475, 603]","[0.4266, 0.3139, 0.2042, 0.6517]",1.0,1.65,2.27,2.89,
2019-07-09 20:00:00,0.134,0.583,16,234.68107015251294,4,0.7487028425696826,60882.24,0,120000,"[1.0, 19.52, 47.35, 86.43]","[1314, 25646, 62207, 113562]","[274, 782, 632, 817]","[0.0109, 0.6496, 0.5649, 0.7258]",1.0,19.52,47.35,86.43,
2019-07-13 17:00:00,0.718,0.725,10,308.65757022152394,4,0.9213440142587518,132898.2,60000,200000,"[1.0, 1.53, 2.34, 3.3]","[60000, 91828, 140329, 198276]","[601, 435, 593, 876]","[0.9118, 0.754, 0.6442, 0.637]",1.0,1.53,2.34,3.3,
