seat,예매여부 sum,좌석 오픈 여부 sum,원가격추정 amin,원가격추정 mean,원가격추정 amax,거래까지걸린시간_시간 mean,거래까지걸린시간_등수 amax,거래까지걸린시간_등수 amin,표준화 등수 점수 mean,좌석 예매율,Unnamed: 0,층,블록,열,넘버,X,Y,Z,대칭점,무대까지의 거리,좌우면적시야각,상하면적시야각,시야방해점수,좌석공간넓음,휠체어석,1/거리**3,무대정면과의각도,좌우시선각도,상하시선각도,주성분,before_smoothing_label,after_smoothing_label
1층 A블록10열 1,19,36,20000,60540.54054054054,100000,1040.3578947368421,585.0,1.0,0.22264731423376027,0.5277777777777778,476,1층,A블록,10,1,1747,1347,69,1층 E블록10열 11,2207.074761,23.1701871,20.36413569,100,0,0,9.301411682107503e-11,0.611,38.24953921569537,1.7915356280685533,-83.48283637539106,2,0
1층 A블록10열 10,22,36,50000,67972.97297297297,110000,821.0378787878788,585.0,1.0,0.3078272469760396,0.6111111111111112,485,1층,A블록,10,10,1296,1463,69,1층 E블록10열 2,1955.695784,33.79013831,18.74566607,100,0,0,1.3368913133791018e-10,0.749,27.419218037270923,2.021904158761718,-334.89141333610274,0,0
1층 A블록10열 11,21,36,40000,69054.05405405405,110000,826.515873015873,585.0,1.0,0.3060716297329143,0.5833333333333334,486,1층,A블록,10,11,1246,1473,69,1층 E블록10열 1,1930.545519,35.06083587,18.44684509,100,0,0,1.3898241760129358e-10,0.763,26.110697122139648,2.048255757033433,-360.0450267550882,2,0
1층 A블록10열 2,21,36,20000,60540.54054054054,110000,939.4722222222223,585.0,1.0,0.2643209003452515,0.5833333333333334,477,1층,A블록,10,2,1698,1361,69,1층 E블록10열 10,2177.219787,24.22176372,20.27930186,100,0,0,9.689317389126128e-11,0.625,37.169794838803234,1.816110109961677,-113.34050299298852,2,0
1층 A블록10열 3,21,35,20000,60945.94594594595,110000,1004.2285714285714,585.0,1.0,0.2750730030432351,0.6,478,1층,A블록,10,3,1649,1375,69,1층 E블록10열 9,2148.158979,25.304345,20.17100227,100,0,0,1.0087899401881195e-10,0.64,36.06040337358952,1.8406872804828005,-142.4042096451995,2,0
1층 A블록10열 4,24,37,20000,61756.75675675676,110000,741.5506944444445,358.0,1.0,0.32543753563958444,0.6486486486486487,479,1층,A블록,10,4,1600,1388,69,1층 E블록10열 8,2119.269921,26.41160146,20.05003575,100,0,0,1.0506091465623095e-10,0.655,34.9414199349469,1.865787622002768,-171.29637520400175,0,0
1층 A블록10열 5,21,35,25000,61756.75675675676,110000,744.3785714285715,358.0,1.0,0.29786293480679527,0.6,480,1층,A블록,10,5,1548,1403,69,1층 E블록10열 7,2090.328682,27.62121418,19.87830982,100,0,0,1.0948541300336838e-10,0.672,33.696074803567946,1.8916293472785948,-200.24099589896247,2,0
1층 A블록10열 6,20,36,25000,64324.32432432433,110000,763.1450000000001,535.0,1.0,0.24848172538759047,0.5555555555555556,481,1층,A블록,10,6,1498,1415,69,1층 E블록10열 6,2061.792909,28.80311712,19.71466561,100,0,0,1.1409454350050058e-10,0.687,32.51514323296018,1.9178197256870588,-228.7802545674102,2,0
1층 A블록10열 7,21,34,30000,66216.21621621621,110000,701.7722222222222,439.0,1.0,0.30472108094901496,0.6176470588235294,482,1층,A블록,10,7,1449,1427,69,1층 E블록10열 5,2034.868792,29.98596532,19.52272659,100,0,0,1.1868361506433082e-10,0.702,31.32133457840017,1.943204792741615,-255.7078273308352,0,0
1층 A블록10열 8,25,37,35000,66756.75675675676,110000,788.5406666666667,585.0,1.0,0.3341717393437146,0.6756756756756757,483,1층,A블록,10,8,1399,1439,69,1층 E블록10열 4,2008.154128,31.21330922,19.29946072,100,0,0,1.2348348363978248e-10,0.717,30.075560263954426,1.9690655448954413,-282.42602993117845,0,0
