seat,예매여부 sum,좌석 오픈 여부 sum,원가격추정 amin,원가격추정 mean,원가격추정 amax,거래까지걸린시간_시간 mean,거래까지걸린시간_등수 amax,거래까지걸린시간_등수 amin,표준화 등수 점수 mean,좌석 예매율,Unnamed: 0,층,블록,열,넘버,X,Y,Z,대칭점,무대까지의 거리,좌우면적시야각,상하면적시야각,시야방해점수,좌석공간넓음,휠체어석,1/거리**3,무대정면과의각도,좌우시선각도,상하시선각도,주성분,before_smoothing_label,after_smoothing_label
1층 A블록10열 1,18,35,10000,118947.36842105263,260000,980.037962962963,855.0,7.0,0.20116874707733795,0.5142857142857142,476,1층,A블록,10,1,1747,1347,69,1층 E블록10열 11,2207.074761,23.1701871,20.36413569,100,0,0,9.301411682107503e-11,0.611,38.24953921569537,1.7915356280685533,-83.48283637539106,0,0
1층 A블록10열 10,23,37,90000,138289.47368421053,260000,532.4586956521739,663.0,6.0,0.3862704655974833,0.6216216216216216,485,1층,A블록,10,10,1296,1463,69,1층 E블록10열 2,1955.695784,33.79013831,18.74566607,100,0,0,1.3368913133791018e-10,0.749,27.419218037270923,2.021904158761718,-334.89141333610274,2,0
1층 A블록10열 11,20,34,90000,136447.36842105264,260000,681.33,663.0,6.0,0.3892891678174592,0.5882352941176471,486,1층,A블록,10,11,1246,1473,69,1층 E블록10열 1,1930.545519,35.06083587,18.44684509,100,0,0,1.3898241760129358e-10,0.763,26.110697122139648,2.048255757033433,-360.0450267550882,0,0
1층 A블록10열 2,19,37,10000,119605.26315789473,260000,754.938596491228,985.0,5.0,0.22349381783812705,0.5135135135135135,477,1층,A블록,10,2,1698,1361,69,1층 E블록10열 10,2177.219787,24.22176372,20.27930186,100,0,0,9.689317389126128e-11,0.625,37.169794838803234,1.816110109961677,-113.34050299298852,0,0
1층 A블록10열 3,13,32,10000,120526.31578947368,260000,511.5935897435897,985.0,5.0,0.236374290651522,0.40625,478,1층,A블록,10,3,1649,1375,69,1층 E블록10열 9,2148.158979,25.304345,20.17100227,100,0,0,1.0087899401881195e-10,0.64,36.06040337358952,1.8406872804828005,-142.4042096451995,1,0
1층 A블록10열 4,15,34,10000,120263.15789473684,260000,671.821111111111,674.0,5.0,0.24180062494593504,0.4411764705882353,479,1층,A블록,10,4,1600,1388,69,1층 E블록10열 8,2119.269921,26.41160146,20.05003575,100,0,0,1.0506091465623095e-10,0.655,34.9414199349469,1.865787622002768,-171.29637520400175,1,0
1층 A블록10열 5,18,35,10000,125000.0,260000,617.075925925926,985.0,3.0,0.27505722755217116,0.5142857142857142,480,1층,A블록,10,5,1548,1403,69,1층 E블록10열 7,2090.328682,27.62121418,19.87830982,100,0,0,1.0948541300336838e-10,0.672,33.696074803567946,1.8916293472785948,-200.24099589896247,0,0
1층 A블록10열 6,18,34,80000,128026.31578947368,260000,646.8194444444445,985.0,2.0,0.28887386517625574,0.5294117647058824,481,1층,A블록,10,6,1498,1415,69,1층 E블록10열 6,2061.792909,28.80311712,19.71466561,100,0,0,1.1409454350050058e-10,0.687,32.51514323296018,1.9178197256870588,-228.7802545674102,0,0
1층 A블록10열 7,14,32,80000,130263.15789473684,260000,580.6011904761905,985.0,2.0,0.29855365655327565,0.4375,482,1층,A블록,10,7,1449,1427,69,1층 E블록10열 5,2034.868792,29.98596532,19.52272659,100,0,0,1.1868361506433082e-10,0.702,31.32133457840017,1.943204792741615,-255.7078273308352,1,0
1층 A블록10열 8,18,37,90000,134078.94736842104,260000,702.7407407407406,935.0,7.0,0.25196192031903114,0.4864864864864865,483,1층,A블록,10,8,1399,1439,69,1층 E블록10열 4,2008.154128,31.21330922,19.29946072,100,0,0,1.2348348363978248e-10,0.717,30.075560263954426,1.9690655448954413,-282.42602993117845,0,0
1층 A블록10열 9,16,31,95000,136973.68421052632,260000,764.709375,663.0,2.0,0.3246357455692886,0.5161290322580645,484,1층,A블록,10,9,1349,1451,69,1층 E블록10열 3,1982.413428,32.45722876,19.04376789,100,0,0,1.2835633490040008e-10,0.732,28.796777441482966,1.9946431958802189,-308.1701869689501,0,0
1층 A블록11열 1,18,36,10000,119736.84210526316,260000,853.5425925925925,935.0,6.0,0.19881004053122114,0.5,533,1층,A블록,11,1,1773,1439,89,1층 E블록11열 11,2285.206993,23.21582372,19.31916864,100,0,0,8.379601519738546e-11,0.63,36.90032556625118,2.2320141608159068,-5.345759125477288,0,0
1층 A블록11열 10,22,36,90000,137368.42105263157,260000,453.380303030303,674.0,2.0,0.4051720605116157,0.6111111111111112,542,1층,A블록,11,10,1315,1556,89,1층 E블록11열 2,2039.186603,33.01876119,17.56909433,100,0,0,1.1793130170736562e-10,0.764,26.165433170035463,2.501460478086036,-251.38366400165452,2,0
1층 A블록11열 11,22,36,90000,135789.47368421053,260000,737.9446969696969,930.0,2.0,0.36029659731070435,0.6111111111111112,543,1층,A블록,11,11,1265,1566,89,1층 E블록11열 1,2015.068733,34.15547101,17.26792383,100,0,0,1.2221665892422158e-10,0.778,24.894706482051088,2.531419232576193,-275.5032703862973,2,0
1층 A블록11열 2,18,36,10000,120000.0,260000,833.6842592592592,935.0,6.0,0.22585305281705445,0.5,534,1층,A블록,11,2,1724,1452,89,1층 E블록11열 10,2255.748435,24.18202467,19.22680122,100,0,0,8.712203392973636e-11,0.644,35.858755553024565,2.261177809924265,-34.80592924081329,0,0
1층 A블록11열 3,19,32,10000,120000.0,260000,743.6605263157894,890.0,6.0,0.29439383275914327,0.59375,535,1층,A블록,11,3,1675,1466,89,1층 E블록11열 9,2227.712279,25.17742818,19.10197967,100,0,0,9.0452943474624e-11,0.659,34.770567088719616,2.289650198367247,-62.84381903823015,2,0
1층 A블록11열 4,19,31,10000,121315.78947368421,260000,680.5868421052631,663.0,4.0,0.3486621632869194,0.6129032258064516,536,1층,A블록,11,4,1626,1480,89,1층 E블록11열 8,2200.499262,26.19495404,18.95413249,100,0,0,9.385044112210168e-11,0.673,33.65500923046333,2.3179810871049784,-90.05866927264083,2,0
1층 A블록11열 5,22,38,45000,125131.57894736843,260000,847.0424242424243,943.0,4.0,0.27529858810943986,0.5789473684210527,537,1층,A블록,11,5,1570,1495,89,1층 E블록11열 7,2169.757129,27.37983062,18.76717101,100,0,0,9.789637893582184e-11,0.69,32.36549424613564,2.350841638454598,-120.8030204229086,0,0
1층 A블록11열 6,14,30,65000,126578.94736842105,260000,1045.942857142857,943.0,4.0,0.28339860008215895,0.4666666666666667,538,1층,A블록,11,6,1521,1507,89,1층 E블록11열 6,2142.991134,28.43484845,18.59017022,100,0,0,1.0161056755524072e-10,0.704,31.22866247576563,2.380220488286107,-147.57106066084364,1,0
1층 A블록11열 7,18,34,80000,129078.94736842105,260000,955.9675925925926,935.0,3.0,0.28419908202589284,0.5294117647058824,539,1층,A블록,11,7,1471,1519,89,1층 E블록11열 5,2116.393867,29.52885645,18.38595435,100,0,0,1.0548981166820555e-10,0.718,30.044037068118342,2.410150878384254,-174.17043202025354,0,0
1층 A블록11열 8,19,36,85000,132236.84210526315,260000,741.0307017543859,935.0,3.0,0.25142747523527165,0.5277777777777778,540,1층,A블록,11,8,1421,1531,89,1층 E블록11열 4,2090.723081,30.63745037,18.15374501,100,0,0,1.0942346392093975e-10,0.733,28.829738542536724,2.439761525163352,-199.8432667726644,0,0
1층 A블록11열 9,15,31,85000,135263.15789473685,260000,630.5111111111111,674.0,7.0,0.2897782343096073,0.4838709677419355,541,1층,A블록,11,9,1368,1544,89,1층 E블록11열 3,2064.771416,31.82337604,17.87217585,100,0,0,1.1360149897669371e-10,0.748,27.5050322132671,2.470445258343255,-225.79694027464328,0,0
1층 A블록12열 1,18,31,10000,117368.42105263157,260000,923.3185185185185,725.0,2.9566991212650646,0.26103062350786377,0.5806451612903226,593,1층,A블록,12,1,1813,1526,109,1층 E블록12열 12,2372.240713,22.91077296,18.38744907,100,0,0,7.490722950312028e-11,0.644,35.80062132192327,2.6335605598493737,81.69342674673001,0,0
1층 A블록12열 10,16,31,95000,135921.05263157896,260000,789.80625,734.0,2.0,0.31015560243314355,0.5161290322580645,602,1층,A블록,12,10,1378,1640,109,1층 E블록12열 3,2144.846148,31.33156098,16.74510724,100,0,0,1.0134715557958224e-10,0.766,25.92635325604396,2.9129974111375496,-145.70771107321548,0,0
1층 A블록12열 11,23,34,90000,135789.47368421053,260000,726.5521739130435,851.0,2.193992677507757,0.40431309018491735,0.6764705882352942,603,1층,A블록,12,11,1329,1650,109,1층 E블록12열 2,2121.466945,32.32927171,16.47329241,100,0,0,1.0473484444543579e-10,0.779,24.737765939069664,2.94512766609696,-169.08748963858278,2,0
1층 A블록12열 12,28,38,90000,133815.7894736842,260000,451.3625,660.0,2.0,0.4893985765254843,0.7368421052631579,604,1층,A블록,12,12,1280,1660,109,1층 E블록12열 1,2099.019057,33.32789826,16.17488065,100,0,0,1.0813115833553048e-10,0.792,23.52315537177157,2.976652451882796,-191.53573369237645,2,0
1층 A블록12열 2,20,37,10000,119210.52631578948,260000,856.6658333333332,674.0,3.0,0.22536180549388993,0.5405405405405406,594,1층,A블록,12,2,1765,1540,109,1층 E블록12열 11,2344.931982,23.78374885,18.27545476,100,0,0,7.755490143571029e-11,0.657,34.78251263426752,2.664252613429621,54.38412037416068,0,0
1층 A블록12열 3,17,34,25000,120263.15789473684,260000,634.2764705882354,663.0,2.577727629553247,0.2763227573774862,0.5,595,1층,A블록,12,3,1717,1553,109,1층 E블록12열 10,2317.709861,24.67212069,18.15461161,100,0,0,8.03198325522292e-11,0.671,33.759045751271294,2.6955679447101875,27.161306476882764,0,0
1층 A블록12열 4,15,34,30000,120657.8947368421,260000,820.9155555555556,935.0,2.0,0.2347425776552959,0.4411764705882353,596,1층,A블록,12,4,1668,1567,109,1층 E블록12열 9,2291.199249,25.59869084,18.00319608,100,0,0,8.314026896937214e-11,0.685,32.676153417051204,2.7267807892926945,0.6499408315909546,1,0
1층 A블록12열 5,15,32,60000,123421.05263157895,260000,875.2077777777778,935.0,2.5828351937986955,0.2908169425271032,0.46875,597,1층,A블록,12,5,1620,1581,109,1층 E블록12열 8,2266.239617,26.52149569,17.83064856,100,0,0,8.591767535628174e-11,0.698,31.58594124320951,2.7568357447586984,-24.31044159181961,1,0
1층 A블록12열 6,19,37,65000,125657.8947368421,260000,702.107894736842,985.0,3.0,0.26368413491045856,0.5135135135135135,598,1층,A블록,12,6,1572,1593,109,1층 E블록12열 7,2240.694981,27.45514935,17.65814384,100,0,0,8.888976865200201e-11,0.712,30.507745625143546,2.788289242488845,-49.85592841148863,0,0
1층 A블록12열 7,15,31,80000,127631.57894736843,260000,703.74,985.0,2.6976880698167585,0.28604361664754546,0.4838709677419355,599,1층,A블록,12,7,1523,1604,109,1층 E블록12열 6,2214.548712,28.42157678,17.47326464,100,0,0,9.207554266553619e-11,0.725,29.40407668860504,2.821235906472065,-76.00313489683937,0,0
1층 A블록12열 8,19,35,80000,130000.0,260000,710.1999999999999,985.0,3.0,0.2713888898120343,0.5428571428571428,600,1층,A블록,12,8,1475,1616,109,1층 E블록12열 5,2190.653327,29.3788233,17.25553582,100,0,0,9.512157520875176e-11,0.739,28.276090429484604,2.8520349158364366,-99.8993029295758,0,0
1층 A블록12열 9,17,34,90000,133289.47368421053,260000,955.7362745098039,985.0,2.461443004654859,0.2639245426769832,0.5,601,1층,A블록,12,9,1426,1628,109,1층 E블록12열 4,2166.965851,30.36360386,17.01161763,100,0,0,9.827516867361536e-11,0.752,27.103712433676712,2.883237199175856,-123.58749051701224,0,0
1층 A블록13열 1,15,33,25000,119605.26315789473,260000,672.8355555555555,985.0,13.0,0.2108061986000927,0.45454545454545453,655,1층,A블록,13,1,1838,1618,130,1층 E블록13열 12,2452.155786,22.82282427,17.48742552,100,0,0,6.781969422364956e-11,0.661,34.60614264466711,3.038936120465635,161.61237982298724,1,0
1층 A블록13열 10,15,30,95000,133947.36842105264,260000,670.4044444444444,935.0,5.0,0.31679609625663074,0.5,664,1층,A블록,13,10,1400,1732,130,1층 E블록13열 3,2230.857234,30.56699395,15.7944543,100,0,0,9.007093392028171e-11,0.778,24.91285378123253,3.340721791714363,-59.684293526846965,0,0
1층 A블록13열 11,21,35,90000,133947.36842105264,260000,1003.3698412698412,837.0,3.0,0.32144119824426115,0.6,665,1층,A블록,13,11,1347,1743,130,1층 E블록13열 2,2206.662185,31.54017853,15.50111671,100,0,0,9.306629866560964e-11,0.791,23.66080355176133,3.377393542829434,-83.87879738190017,2,0
1층 A블록13열 12,19,36,90000,133684.2105263158,260000,947.119298245614,846.0,3.0,0.27741245603858317,0.5277777777777778,666,1층,A블록,13,12,1298,1753,130,1층 E블록13열 1,2185.111668,32.43885668,15.20711465,100,0,0,9.584712529620823e-11,0.804,22.48166729599109,3.410742069097604,-105.42860281031184,0,0
1층 A블록13열 2,20,37,40000,120921.05263157895,260000,1142.4233333333334,985.0,13.0,0.17879663479521163,0.5405405405405406,656,1층,A블록,13,2,1790,1631,130,1층 E블록13열 11,2425.110513,23.62704192,17.37403425,100,0,0,7.0114105382967e-11,0.674,33.62481402752482,3.0728592397553154,134.56732797788789,0,0
1층 A블록13열 3,17,35,35000,120921.05263157895,260000,893.6999999999999,985.0,17.0,0.22030949495479718,0.4857142857142857,657,1층,A블록,13,3,1742,1645,130,1층 E블록13열 10,2399.476818,24.44809717,17.23354904,100,0,0,7.238529099594949e-11,0.687,32.60419701358006,3.1057187209369874,108.93381798862691,0,0
1층 A블록13열 4,12,31,40000,121710.52631578948,260000,1043.8222222222223,674.0,17.0,0.2122406096087653,0.3870967741935484,658,1층,A블록,13,4,1694,1658,130,1층 E블록13열 9,2373.920807,25.28023391,17.08446283,100,0,0,7.474829984690273e-11,0.699,31.579081342009623,3.1391860840483483,83.37793175875396,1,0
1층 A블록13열 5,17,36,10000,120000.0,260000,688.557843137255,674.0,17.0,0.20870363881534515,0.4722222222222222,659,1층,A블록,13,5,1646,1672,130,1층 E블록13열 8,2349.851059,26.12444952,16.90645723,100,0,0,7.706887002308571e-11,0.713,30.51479336821735,3.171373777292317,59.30834571659067,1,0
1층 A블록13열 6,15,36,45000,125394.73684210527,260000,918.5699999999999,674.0,17.0,0.18387211787224764,0.4166666666666667,660,1층,A블록,13,6,1594,1685,130,1층 E블록13열 7,2323.136027,27.04887493,16.71327475,100,0,0,7.975833520949421e-11,0.726,29.37407126861163,3.207881103274677,32.59341728357061,1,0
1층 A블록13열 7,15,32,60000,127894.73684210527,260000,722.7588888888889,916.0,11.0,0.23541151270243782,0.46875,661,1층,A블록,13,7,1546,1697,130,1층 E블록13열 6,2299.309679,27.91123733,16.51410478,100,0,0,8.226357848842793e-11,0.739,28.29788587272291,3.241157744996649,8.767209547231182,1,0
1층 A블록13열 8,17,34,75000,129868.42105263157,260000,697.4343137254901,674.0,4.0,0.26608657678882053,0.5,662,1층,A블록,13,8,1497,1708,130,1층 E블록13열 5,2274.900657,28.8003808,16.30251051,100,0,0,8.494008506803351e-11,0.752,27.19714536543573,3.27597216833652,-15.641678133076123,0,0
1층 A블록13열 9,22,37,90000,132763.15789473685,260000,618.8386363636363,663.0,4.0,0.33387163202605763,0.5945945945945946,663,1층,A블록,13,9,1449,1720,130,1층 E블록13열 4,2252.754092,29.67372734,16.06097682,100,0,0,8.746990166773307e-11,0.765,26.07594600522436,3.308213533872036,-37.787913674947525,2,0
1층 A블록15열 1,21,33,10000,119605.26315789473,260000,977.054761904762,725.0,2.5444361953697348,0.23433804960912655,0.6363636363636364,755,1층,A블록,15,1,1878,1829,172,1층 E블록15열 12,2627.11039,22.64174772,15.64438564,100,1,0,5.5152478489508045e-11,0.698,31.721061550479828,3.753907020554319,336.5743365378069,2,0
1층 A블록15열 10,34,38,80000,130657.8947368421,260000,834.2563725490196,720.0,1.0,0.4749047547517601,0.8947368421052632,764,1층,A블록,15,10,1439,1943,172,1층 E블록15열 3,2423.954207,29.01848122,13.87852505,100,1,0,7.021449346948857e-11,0.804,22.487675100452066,4.069038468586991,133.43494521262403,2,0
