seat,예매여부 sum,좌석 오픈 여부 sum,원가격추정 amin,원가격추정 mean,원가격추정 amax,거래까지걸린시간_시간 mean,거래까지걸린시간_등수 amax,거래까지걸린시간_등수 amin,표준화 등수 점수 mean,좌석 예매율,Unnamed: 0,층,블록,열,넘버,X,Y,Z,대칭점,무대까지의 거리,좌우면적시야각,상하면적시야각,시야방해점수,좌석공간넓음,휠체어석,1/거리**3,무대정면과의각도,좌우시선각도,상하시선각도,주성분,before_smoothing_label,after_smoothing_label
1층 A블록10열 1,14,36,10000,39078.94736842105,70000,591.3619047619047,527.0,5.0,0.20413058557535443,0.3888888888888889,476,1층,A블록,10,1,1747,1347,69,1층 E블록10열 11,2207.074761,23.1701871,20.36413569,100,0,0,9.301411682107503e-11,0.611,38.24953921569537,1.7915356280685533,-83.48283637539106,3,0
1층 A블록10열 10,27,37,10000,43947.36842105263,80000,715.6012345679012,382.0,2.0,0.33159256348844474,0.7297297297297297,485,1층,A블록,10,10,1296,1463,69,1층 E블록10열 2,1955.695784,33.79013831,18.74566607,100,0,0,1.3368913133791018e-10,0.749,27.419218037270923,2.021904158761718,-334.89141333610274,2,2
1층 A블록10열 11,20,30,10000,43684.21052631579,80000,699.1,382.0,2.0,0.35955465179791624,0.6666666666666666,486,1층,A블록,10,11,1246,1473,69,1층 E블록10열 1,1930.545519,35.06083587,18.44684509,100,0,0,1.3898241760129358e-10,0.763,26.110697122139648,2.048255757033433,-360.0450267550882,2,2
1층 A블록10열 2,17,36,10000,39473.68421052631,70000,634.2068627450981,401.0,5.0,0.2259099833808826,0.4722222222222222,477,1층,A블록,10,2,1698,1361,69,1층 E블록10열 10,2177.219787,24.22176372,20.27930186,100,0,0,9.689317389126128e-11,0.625,37.169794838803234,1.816110109961677,-113.34050299298852,0,0
1층 A블록10열 3,15,33,10000,39868.42105263158,70000,806.2955555555557,401.0,5.0,0.24113376693521266,0.45454545454545453,478,1층,A블록,10,3,1649,1375,69,1층 E블록10열 9,2148.158979,25.304345,20.17100227,100,0,0,1.0087899401881195e-10,0.64,36.06040337358952,1.8406872804828005,-142.4042096451995,0,0
1층 A블록10열 4,21,37,10000,40526.31578947369,70000,526.5825396825397,382.0,5.0,0.2783731250211994,0.5675675675675675,479,1층,A블록,10,4,1600,1388,69,1층 E블록10열 8,2119.269921,26.41160146,20.05003575,100,0,0,1.0506091465623095e-10,0.655,34.9414199349469,1.865787622002768,-171.29637520400175,0,0
1층 A블록10열 5,14,32,10000,41052.63157894737,80000,743.1738095238096,382.0,5.0,0.2527177879726672,0.4375,480,1층,A블록,10,5,1548,1403,69,1층 E블록10열 7,2090.328682,27.62121418,19.87830982,100,0,0,1.0948541300336838e-10,0.672,33.696074803567946,1.8916293472785948,-200.24099589896247,0,0
1층 A블록10열 6,22,36,10000,41447.36842105263,80000,626.5598484848484,354.0,3.0,0.2955786487028422,0.6111111111111112,481,1층,A블록,10,6,1498,1415,69,1층 E블록10열 6,2061.792909,28.80311712,19.71466561,100,0,0,1.1409454350050058e-10,0.687,32.51514323296018,1.9178197256870588,-228.7802545674102,2,0
1층 A블록10열 7,20,30,10000,41842.10526315789,80000,887.6208333333334,354.0,5.0,0.28612221059132414,0.6666666666666666,482,1층,A블록,10,7,1449,1427,69,1층 E블록10열 5,2034.868792,29.98596532,19.52272659,100,0,0,1.1868361506433082e-10,0.702,31.32133457840017,1.943204792741615,-255.7078273308352,2,0
1층 A블록10열 8,27,36,10000,42631.57894736842,80000,773.2796296296297,382.0,5.0,0.30579542967291357,0.75,483,1층,A블록,10,8,1399,1439,69,1층 E블록10열 4,2008.154128,31.21330922,19.29946072,100,0,0,1.2348348363978248e-10,0.717,30.075560263954426,1.9690655448954413,-282.42602993117845,2,2
