Ãþ,ºí·Ï,¿­,³Ñ¹ö,ÀüÃ¼_ÁÂ¼®
1Ãþ,Aºí·Ï,1,1,1Ãþ Aºí·Ï1¿­ 1
1Ãþ,Aºí·Ï,1,2,1Ãþ Aºí·Ï1¿­ 2
1Ãþ,Aºí·Ï,1,3,1Ãþ Aºí·Ï1¿­ 3
1Ãþ,Aºí·Ï,1,4,1Ãþ Aºí·Ï1¿­ 4
1Ãþ,Aºí·Ï,1,5,1Ãþ Aºí·Ï1¿­ 5
1Ãþ,Aºí·Ï,1,6,1Ãþ Aºí·Ï1¿­ 6
1Ãþ,Aºí·Ï,1,7,1Ãþ Aºí·Ï1¿­ 7
1Ãþ,Aºí·Ï,1,8,1Ãþ Aºí·Ï1¿­ 8
1Ãþ,Aºí·Ï,1,9,1Ãþ Aºí·Ï1¿­ 9
1Ãþ,Aºí·Ï,2,1,1Ãþ Aºí·Ï2¿­ 1
1Ãþ,Aºí·Ï,2,2,1Ãþ Aºí·Ï2¿­ 2
1Ãþ,Aºí·Ï,2,3,1Ãþ Aºí·Ï2¿­ 3
1Ãþ,Aºí·Ï,2,4,1Ãþ Aºí·Ï2¿­ 4
1Ãþ,Aºí·Ï,2,5,1Ãþ Aºí·Ï2¿­ 5
1Ãþ,Aºí·Ï,2,6,1Ãþ Aºí·Ï2¿­ 6
1Ãþ,Aºí·Ï,2,7,1Ãþ Aºí·Ï2¿­ 7
1Ãþ,Aºí·Ï,2,8,1Ãþ Aºí·Ï2¿­ 8
1Ãþ,Aºí·Ï,2,9,1Ãþ Aºí·Ï2¿­ 9
1Ãþ,Aºí·Ï,3,1,1Ãþ Aºí·Ï3¿­ 1
1Ãþ,Aºí·Ï,3,2,1Ãþ Aºí·Ï3¿­ 2
1Ãþ,Aºí·Ï,3,3,1Ãþ Aºí·Ï3¿­ 3
1Ãþ,Aºí·Ï,3,4,1Ãþ Aºí·Ï3¿­ 4
1Ãþ,Aºí·Ï,3,5,1Ãþ Aºí·Ï3¿­ 5
1Ãþ,Aºí·Ï,3,6,1Ãþ Aºí·Ï3¿­ 6
1Ãþ,Aºí·Ï,3,7,1Ãþ Aºí·Ï3¿­ 7
1Ãþ,Aºí·Ï,3,8,1Ãþ Aºí·Ï3¿­ 8
1Ãþ,Aºí·Ï,3,9,1Ãþ Aºí·Ï3¿­ 9
1Ãþ,Aºí·Ï,4,1,1Ãþ Aºí·Ï4¿­ 1
1Ãþ,Aºí·Ï,4,2,1Ãþ Aºí·Ï4¿­ 2
1Ãþ,Aºí·Ï,4,3,1Ãþ Aºí·Ï4¿­ 3
1Ãþ,Aºí·Ï,4,4,1Ãþ Aºí·Ï4¿­ 4
1Ãþ,Aºí·Ï,4,5,1Ãþ Aºí·Ï4¿­ 5
1Ãþ,Aºí·Ï,4,6,1Ãþ Aºí·Ï4¿­ 6
1Ãþ,Aºí·Ï,4,7,1Ãþ Aºí·Ï4¿­ 7
1Ãþ,Aºí·Ï,4,8,1Ãþ Aºí·Ï4¿­ 8
1Ãþ,Aºí·Ï,4,9,1Ãþ Aºí·Ï4¿­ 9
1Ãþ,Aºí·Ï,4,10,1Ãþ Aºí·Ï4¿­ 10
1Ãþ,Aºí·Ï,5,1,1Ãþ Aºí·Ï5¿­ 1
1Ãþ,Aºí·Ï,5,2,1Ãþ Aºí·Ï5¿­ 2
1Ãþ,Aºí·Ï,5,3,1Ãþ Aºí·Ï5¿­ 3
1Ãþ,Aºí·Ï,5,4,1Ãþ Aºí·Ï5¿­ 4
1Ãþ,Aºí·Ï,5,5,1Ãþ Aºí·Ï5¿­ 5
1Ãþ,Aºí·Ï,5,6,1Ãþ Aºí·Ï5¿­ 6
1Ãþ,Aºí·Ï,5,7,1Ãþ Aºí·Ï5¿­ 7
1Ãþ,Aºí·Ï,5,8,1Ãþ Aºí·Ï5¿­ 8
1Ãþ,Aºí·Ï,5,9,1Ãþ Aºí·Ï5¿­ 9
1Ãþ,Aºí·Ï,5,10,1Ãþ Aºí·Ï5¿­ 10
1Ãþ,Aºí·Ï,6,1,1Ãþ Aºí·Ï6¿­ 1
1Ãþ,Aºí·Ï,6,2,1Ãþ Aºí·Ï6¿­ 2
1Ãþ,Aºí·Ï,6,3,1Ãþ Aºí·Ï6¿­ 3
1Ãþ,Aºí·Ï,6,4,1Ãþ Aºí·Ï6¿­ 4
1Ãþ,Aºí·Ï,6,5,1Ãþ Aºí·Ï6¿­ 5
1Ãþ,Aºí·Ï,6,6,1Ãþ Aºí·Ï6¿­ 6
1Ãþ,Aºí·Ï,6,7,1Ãþ Aºí·Ï6¿­ 7
1Ãþ,Aºí·Ï,6,8,1Ãþ Aºí·Ï6¿­ 8
1Ãþ,Aºí·Ï,6,9,1Ãþ Aºí·Ï6¿­ 9
1Ãþ,Aºí·Ï,6,10,1Ãþ Aºí·Ï6¿­ 10
1Ãþ,Aºí·Ï,7,1,1Ãþ Aºí·Ï7¿­ 1
1Ãþ,Aºí·Ï,7,2,1Ãþ Aºí·Ï7¿­ 2
1Ãþ,Aºí·Ï,7,3,1Ãþ Aºí·Ï7¿­ 3
1Ãþ,Aºí·Ï,7,4,1Ãþ Aºí·Ï7¿­ 4
1Ãþ,Aºí·Ï,7,5,1Ãþ Aºí·Ï7¿­ 5
1Ãþ,Aºí·Ï,7,6,1Ãþ Aºí·Ï7¿­ 6
1Ãþ,Aºí·Ï,7,7,1Ãþ Aºí·Ï7¿­ 7
1Ãþ,Aºí·Ï,7,8,1Ãþ Aºí·Ï7¿­ 8
1Ãþ,Aºí·Ï,7,9,1Ãþ Aºí·Ï7¿­ 9
1Ãþ,Aºí·Ï,7,10,1Ãþ Aºí·Ï7¿­ 10
1Ãþ,Aºí·Ï,8,1,1Ãþ Aºí·Ï8¿­ 1
1Ãþ,Aºí·Ï,8,2,1Ãþ Aºí·Ï8¿­ 2
1Ãþ,Aºí·Ï,8,3,1Ãþ Aºí·Ï8¿­ 3
1Ãþ,Aºí·Ï,8,4,1Ãþ Aºí·Ï8¿­ 4
1Ãþ,Aºí·Ï,8,5,1Ãþ Aºí·Ï8¿­ 5
1Ãþ,Aºí·Ï,8,6,1Ãþ Aºí·Ï8¿­ 6
1Ãþ,Aºí·Ï,8,7,1Ãþ Aºí·Ï8¿­ 7
1Ãþ,Aºí·Ï,8,8,1Ãþ Aºí·Ï8¿­ 8
1Ãþ,Aºí·Ï,8,9,1Ãþ Aºí·Ï8¿­ 9
1Ãþ,Aºí·Ï,8,10,1Ãþ Aºí·Ï8¿­ 10
1Ãþ,Aºí·Ï,8,11,1Ãþ Aºí·Ï8¿­ 11
1Ãþ,Aºí·Ï,9,1,1Ãþ Aºí·Ï9¿­ 1
1Ãþ,Aºí·Ï,9,2,1Ãþ Aºí·Ï9¿­ 2
1Ãþ,Aºí·Ï,9,3,1Ãþ Aºí·Ï9¿­ 3
1Ãþ,Aºí·Ï,9,4,1Ãþ Aºí·Ï9¿­ 4
1Ãþ,Aºí·Ï,9,5,1Ãþ Aºí·Ï9¿­ 5
1Ãþ,Aºí·Ï,9,6,1Ãþ Aºí·Ï9¿­ 6
1Ãþ,Aºí·Ï,9,7,1Ãþ Aºí·Ï9¿­ 7
1Ãþ,Aºí·Ï,9,8,1Ãþ Aºí·Ï9¿­ 8
1Ãþ,Aºí·Ï,9,9,1Ãþ Aºí·Ï9¿­ 9
1Ãþ,Aºí·Ï,9,10,1Ãþ Aºí·Ï9¿­ 10
1Ãþ,Aºí·Ï,9,11,1Ãþ Aºí·Ï9¿­ 11
1Ãþ,Aºí·Ï,10,1,1Ãþ Aºí·Ï10¿­ 1
1Ãþ,Aºí·Ï,10,2,1Ãþ Aºí·Ï10¿­ 2
1Ãþ,Aºí·Ï,10,3,1Ãþ Aºí·Ï10¿­ 3
1Ãþ,Aºí·Ï,10,4,1Ãþ Aºí·Ï10¿­ 4
1Ãþ,Aºí·Ï,10,5,1Ãþ Aºí·Ï10¿­ 5
1Ãþ,Aºí·Ï,10,6,1Ãþ Aºí·Ï10¿­ 6
1Ãþ,Aºí·Ï,10,7,1Ãþ Aºí·Ï10¿­ 7
1Ãþ,Aºí·Ï,10,8,1Ãþ Aºí·Ï10¿­ 8
1Ãþ,Aºí·Ï,10,9,1Ãþ Aºí·Ï10¿­ 9
1Ãþ,Aºí·Ï,10,10,1Ãþ Aºí·Ï10¿­ 10
1Ãþ,Aºí·Ï,10,11,1Ãþ Aºí·Ï10¿­ 11
1Ãþ,Aºí·Ï,11,1,1Ãþ Aºí·Ï11¿­ 1
1Ãþ,Aºí·Ï,11,2,1Ãþ Aºí·Ï11¿­ 2
1Ãþ,Aºí·Ï,11,3,1Ãþ Aºí·Ï11¿­ 3
1Ãþ,Aºí·Ï,11,4,1Ãþ Aºí·Ï11¿­ 4
1Ãþ,Aºí·Ï,11,5,1Ãþ Aºí·Ï11¿­ 5
1Ãþ,Aºí·Ï,11,6,1Ãþ Aºí·Ï11¿­ 6
1Ãþ,Aºí·Ï,11,7,1Ãþ Aºí·Ï11¿­ 7
1Ãþ,Aºí·Ï,11,8,1Ãþ Aºí·Ï11¿­ 8
1Ãþ,Aºí·Ï,11,9,1Ãþ Aºí·Ï11¿­ 9
1Ãþ,Aºí·Ï,11,10,1Ãþ Aºí·Ï11¿­ 10
1Ãþ,Aºí·Ï,11,11,1Ãþ Aºí·Ï11¿­ 11
1Ãþ,Aºí·Ï,12,1,1Ãþ Aºí·Ï12¿­ 1
1Ãþ,Aºí·Ï,12,2,1Ãþ Aºí·Ï12¿­ 2
1Ãþ,Aºí·Ï,12,3,1Ãþ Aºí·Ï12¿­ 3
1Ãþ,Aºí·Ï,12,4,1Ãþ Aºí·Ï12¿­ 4
1Ãþ,Aºí·Ï,12,5,1Ãþ Aºí·Ï12¿­ 5
1Ãþ,Aºí·Ï,12,6,1Ãþ Aºí·Ï12¿­ 6
1Ãþ,Aºí·Ï,12,7,1Ãþ Aºí·Ï12¿­ 7
1Ãþ,Aºí·Ï,12,8,1Ãþ Aºí·Ï12¿­ 8
1Ãþ,Aºí·Ï,12,9,1Ãþ Aºí·Ï12¿­ 9
1Ãþ,Aºí·Ï,12,10,1Ãþ Aºí·Ï12¿­ 10
1Ãþ,Aºí·Ï,12,11,1Ãþ Aºí·Ï12¿­ 11
1Ãþ,Aºí·Ï,12,12,1Ãþ Aºí·Ï12¿­ 12
1Ãþ,Aºí·Ï,13,1,1Ãþ Aºí·Ï13¿­ 1
1Ãþ,Aºí·Ï,13,2,1Ãþ Aºí·Ï13¿­ 2
1Ãþ,Aºí·Ï,13,3,1Ãþ Aºí·Ï13¿­ 3
1Ãþ,Aºí·Ï,13,4,1Ãþ Aºí·Ï13¿­ 4
1Ãþ,Aºí·Ï,13,5,1Ãþ Aºí·Ï13¿­ 5
1Ãþ,Aºí·Ï,13,6,1Ãþ Aºí·Ï13¿­ 6
1Ãþ,Aºí·Ï,13,7,1Ãþ Aºí·Ï13¿­ 7
1Ãþ,Aºí·Ï,13,8,1Ãþ Aºí·Ï13¿­ 8
1Ãþ,Aºí·Ï,13,9,1Ãþ Aºí·Ï13¿­ 9
1Ãþ,Aºí·Ï,13,10,1Ãþ Aºí·Ï13¿­ 10
1Ãþ,Aºí·Ï,13,11,1Ãþ Aºí·Ï13¿­ 11
1Ãþ,Aºí·Ï,13,12,1Ãþ Aºí·Ï13¿­ 12
1Ãþ,Aºí·Ï,15,1,1Ãþ Aºí·Ï15¿­ 1
1Ãþ,Aºí·Ï,15,2,1Ãþ Aºí·Ï15¿­ 2
1Ãþ,Aºí·Ï,15,3,1Ãþ Aºí·Ï15¿­ 3
1Ãþ,Aºí·Ï,15,4,1Ãþ Aºí·Ï15¿­ 4
1Ãþ,Aºí·Ï,15,5,1Ãþ Aºí·Ï15¿­ 5
1Ãþ,Aºí·Ï,15,6,1Ãþ Aºí·Ï15¿­ 6
1Ãþ,Aºí·Ï,15,7,1Ãþ Aºí·Ï15¿­ 7
1Ãþ,Aºí·Ï,15,8,1Ãþ Aºí·Ï15¿­ 8
1Ãþ,Aºí·Ï,15,9,1Ãþ Aºí·Ï15¿­ 9
1Ãþ,Aºí·Ï,15,10,1Ãþ Aºí·Ï15¿­ 10
1Ãþ,Aºí·Ï,15,11,1Ãþ Aºí·Ï15¿­ 11
1Ãþ,Aºí·Ï,15,12,1Ãþ Aºí·Ï15¿­ 12
1Ãþ,Aºí·Ï,16,1,1Ãþ Aºí·Ï16¿­ 1
1Ãþ,Aºí·Ï,16,2,1Ãþ Aºí·Ï16¿­ 2
1Ãþ,Aºí·Ï,16,3,1Ãþ Aºí·Ï16¿­ 3
1Ãþ,Aºí·Ï,16,4,1Ãþ Aºí·Ï16¿­ 4
1Ãþ,Aºí·Ï,16,5,1Ãþ Aºí·Ï16¿­ 5
1Ãþ,Aºí·Ï,16,6,1Ãþ Aºí·Ï16¿­ 6
1Ãþ,Aºí·Ï,16,7,1Ãþ Aºí·Ï16¿­ 7
1Ãþ,Aºí·Ï,16,8,1Ãþ Aºí·Ï16¿­ 8
1Ãþ,Aºí·Ï,16,9,1Ãþ Aºí·Ï16¿­ 9
1Ãþ,Aºí·Ï,16,10,1Ãþ Aºí·Ï16¿­ 10
1Ãþ,Aºí·Ï,16,11,1Ãþ Aºí·Ï16¿­ 11
1Ãþ,Aºí·Ï,17,1,1Ãþ Aºí·Ï17¿­ 1
1Ãþ,Aºí·Ï,17,2,1Ãþ Aºí·Ï17¿­ 2
1Ãþ,Aºí·Ï,17,3,1Ãþ Aºí·Ï17¿­ 3
1Ãþ,Aºí·Ï,17,4,1Ãþ Aºí·Ï17¿­ 4
1Ãþ,Aºí·Ï,17,5,1Ãþ Aºí·Ï17¿­ 5
1Ãþ,Aºí·Ï,17,6,1Ãþ Aºí·Ï17¿­ 6
1Ãþ,Aºí·Ï,17,7,1Ãþ Aºí·Ï17¿­ 7
1Ãþ,Aºí·Ï,17,8,1Ãþ Aºí·Ï17¿­ 8
1Ãþ,Aºí·Ï,17,9,1Ãþ Aºí·Ï17¿­ 9
1Ãþ,Aºí·Ï,17,10,1Ãþ Aºí·Ï17¿­ 10
1Ãþ,Aºí·Ï,17,11,1Ãþ Aºí·Ï17¿­ 11
1Ãþ,Aºí·Ï,18,1,1Ãþ Aºí·Ï18¿­ 1
1Ãþ,Aºí·Ï,18,2,1Ãþ Aºí·Ï18¿­ 2
1Ãþ,Aºí·Ï,18,3,1Ãþ Aºí·Ï18¿­ 3
1Ãþ,Aºí·Ï,18,4,1Ãþ Aºí·Ï18¿­ 4
1Ãþ,Aºí·Ï,18,5,1Ãþ Aºí·Ï18¿­ 5
1Ãþ,Aºí·Ï,18,6,1Ãþ Aºí·Ï18¿­ 6
1Ãþ,Aºí·Ï,18,7,1Ãþ Aºí·Ï18¿­ 7
1Ãþ,Aºí·Ï,18,8,1Ãþ Aºí·Ï18¿­ 8
1Ãþ,Aºí·Ï,18,9,1Ãþ Aºí·Ï18¿­ 9
1Ãþ,Aºí·Ï,18,10,1Ãþ Aºí·Ï18¿­ 10
1Ãþ,Aºí·Ï,19,1,1Ãþ Aºí·Ï19¿­ 1
1Ãþ,Aºí·Ï,19,2,1Ãþ Aºí·Ï19¿­ 2
1Ãþ,Aºí·Ï,19,3,1Ãþ Aºí·Ï19¿­ 3
1Ãþ,Aºí·Ï,19,4,1Ãþ Aºí·Ï19¿­ 4
1Ãþ,Aºí·Ï,19,5,1Ãþ Aºí·Ï19¿­ 5
1Ãþ,Aºí·Ï,19,6,1Ãþ Aºí·Ï19¿­ 6
1Ãþ,Aºí·Ï,19,7,1Ãþ Aºí·Ï19¿­ 7
1Ãþ,Aºí·Ï,19,8,1Ãþ Aºí·Ï19¿­ 8
1Ãþ,Aºí·Ï,19,9,1Ãþ Aºí·Ï19¿­ 9
1Ãþ,Aºí·Ï,20,1,1Ãþ Aºí·Ï20¿­ 1
1Ãþ,Aºí·Ï,20,2,1Ãþ Aºí·Ï20¿­ 2
1Ãþ,Aºí·Ï,20,3,1Ãþ Aºí·Ï20¿­ 3
1Ãþ,Aºí·Ï,20,4,1Ãþ Aºí·Ï20¿­ 4
1Ãþ,Aºí·Ï,20,5,1Ãþ Aºí·Ï20¿­ 5
1Ãþ,Aºí·Ï,20,6,1Ãþ Aºí·Ï20¿­ 6
1Ãþ,Aºí·Ï,20,7,1Ãþ Aºí·Ï20¿­ 7
1Ãþ,Aºí·Ï,20,8,1Ãþ Aºí·Ï20¿­ 8
1Ãþ,Aºí·Ï,21,1,1Ãþ Aºí·Ï21¿­ 1
1Ãþ,Aºí·Ï,21,2,1Ãþ Aºí·Ï21¿­ 2
1Ãþ,Aºí·Ï,21,3,1Ãþ Aºí·Ï21¿­ 3
1Ãþ,Aºí·Ï,21,4,1Ãþ Aºí·Ï21¿­ 4
1Ãþ,Aºí·Ï,21,5,1Ãþ Aºí·Ï21¿­ 5
1Ãþ,Aºí·Ï,21,6,1Ãþ Aºí·Ï21¿­ 6
1Ãþ,Aºí·Ï,21,7,1Ãþ Aºí·Ï21¿­ 7
1Ãþ,Aºí·Ï,22,1,1Ãþ Aºí·Ï22¿­ 1
1Ãþ,Aºí·Ï,22,2,1Ãþ Aºí·Ï22¿­ 2
1Ãþ,Aºí·Ï,22,3,1Ãþ Aºí·Ï22¿­ 3
1Ãþ,Aºí·Ï,22,4,1Ãþ Aºí·Ï22¿­ 4
1Ãþ,Aºí·Ï,22,5,1Ãþ Aºí·Ï22¿­ 5
1Ãþ,Aºí·Ï,22,6,1Ãþ Aºí·Ï22¿­ 6
1Ãþ,Aºí·Ï,22,7,1Ãþ Aºí·Ï22¿­ 7
1Ãþ,Bºí·Ï,1,1,1Ãþ Bºí·Ï1¿­ 1
1Ãþ,Bºí·Ï,1,2,1Ãþ Bºí·Ï1¿­ 2
1Ãþ,Bºí·Ï,1,3,1Ãþ Bºí·Ï1¿­ 3
1Ãþ,Bºí·Ï,1,4,1Ãþ Bºí·Ï1¿­ 4
1Ãþ,Bºí·Ï,1,5,1Ãþ Bºí·Ï1¿­ 5
1Ãþ,Bºí·Ï,1,6,1Ãþ Bºí·Ï1¿­ 6
1Ãþ,Bºí·Ï,1,7,1Ãþ Bºí·Ï1¿­ 7
1Ãþ,Bºí·Ï,1,8,1Ãþ Bºí·Ï1¿­ 8
1Ãþ,Bºí·Ï,1,9,1Ãþ Bºí·Ï1¿­ 9
1Ãþ,Bºí·Ï,2,1,1Ãþ Bºí·Ï2¿­ 1
1Ãþ,Bºí·Ï,2,2,1Ãþ Bºí·Ï2¿­ 2
1Ãþ,Bºí·Ï,2,3,1Ãþ Bºí·Ï2¿­ 3
1Ãþ,Bºí·Ï,2,4,1Ãþ Bºí·Ï2¿­ 4
1Ãþ,Bºí·Ï,2,5,1Ãþ Bºí·Ï2¿­ 5
1Ãþ,Bºí·Ï,2,6,1Ãþ Bºí·Ï2¿­ 6
1Ãþ,Bºí·Ï,2,7,1Ãþ Bºí·Ï2¿­ 7
1Ãþ,Bºí·Ï,2,8,1Ãþ Bºí·Ï2¿­ 8
1Ãþ,Bºí·Ï,2,9,1Ãþ Bºí·Ï2¿­ 9
1Ãþ,Bºí·Ï,2,10,1Ãþ Bºí·Ï2¿­ 10
1Ãþ,Bºí·Ï,3,1,1Ãþ Bºí·Ï3¿­ 1
