층,블록,열,넘버,전체_좌석,X,Y,Z,대칭점
1층,A블록,1,1,1층 A블록1열 1,1451,542,-93,1층 E블록1열 9
1층,A블록,1,2,1층 A블록1열 2,1406,555,-93,1층 E블록1열 8
1층,A블록,1,3,1층 A블록1열 3,1361,568,-93,1층 E블록1열 7
1층,A블록,1,4,1층 A블록1열 4,1315,580,-93,1층 E블록1열 6
1층,A블록,1,5,1층 A블록1열 5,1270,591,-93,1층 E블록1열 5
1층,A블록,1,6,1층 A블록1열 6,1224,602,-93,1층 E블록1열 4
1층,A블록,1,7,1층 A블록1열 7,1178,613,-93,1층 E블록1열 3
1층,A블록,1,8,1층 A블록1열 8,1133,624,-93,1층 E블록1열 2
1층,A블록,1,9,1층 A블록1열 9,1086,633,-93,1층 E블록1열 1
1층,B블록,1,1,1층 B블록1열 1,927,664,-93,1층 D블록1열 9
1층,B블록,1,2,1층 B블록1열 2,871,673,-93,1층 D블록1열 8
1층,B블록,1,3,1층 B블록1열 3,816,682,-93,1층 D블록1열 7
1층,B블록,1,4,1층 B블록1열 4,761,691,-93,1층 D블록1열 6
1층,B블록,1,5,1층 B블록1열 5,706,699,-93,1층 D블록1열 5
1층,B블록,1,6,1층 B블록1열 6,650,706,-93,1층 D블록1열 4
1층,B블록,1,7,1층 B블록1열 7,595,715,-93,1층 D블록1열 3
1층,B블록,1,8,1층 B블록1열 8,539,720,-93,1층 D블록1열 2
1층,B블록,1,9,1층 B블록1열 9,484,725,-93,1층 D블록1열 1
1층,C블록,1,1,1층 C블록1열 1,319,737,-93,1층 C블록1열 12
1층,C블록,1,2,1층 C블록1열 2,261,740,-93,1층 C블록1열 11
1층,C블록,1,3,1층 C블록1열 3,203,744,-93,1층 C블록1열 10
1층,C블록,1,4,1층 C블록1열 4,145,745,-93,1층 C블록1열 9
1층,C블록,1,5,1층 C블록1열 5,87,746,-93,1층 C블록1열 8
1층,C블록,1,6,1층 C블록1열 6,29,747,-93,1층 C블록1열 7
1층,C블록,1,7,1층 C블록1열 7,-29,747,-93,1층 C블록1열 6
1층,C블록,1,8,1층 C블록1열 8,-87,746,-93,1층 C블록1열 5
1층,C블록,1,9,1층 C블록1열 9,-145,745,-93,1층 C블록1열 4
1층,C블록,1,10,1층 C블록1열 10,-203,744,-93,1층 C블록1열 3
1층,C블록,1,11,1층 C블록1열 11,-261,740,-93,1층 C블록1열 2
1층,C블록,1,12,1층 C블록1열 12,-319,737,-93,1층 C블록1열 1
1층,D블록,1,1,1층 D블록1열 1,-484,725,-93,1층 B블록1열 9
1층,D블록,1,2,1층 D블록1열 2,-539,720,-93,1층 B블록1열 8
1층,D블록,1,3,1층 D블록1열 3,-595,715,-93,1층 B블록1열 7
1층,D블록,1,4,1층 D블록1열 4,-650,706,-93,1층 B블록1열 6
1층,D블록,1,5,1층 D블록1열 5,-706,699,-93,1층 B블록1열 5
1층,D블록,1,6,1층 D블록1열 6,-761,691,-93,1층 B블록1열 4
1층,D블록,1,7,1층 D블록1열 7,-816,682,-93,1층 B블록1열 3
1층,D블록,1,8,1층 D블록1열 8,-871,673,-93,1층 B블록1열 2
1층,D블록,1,9,1층 D블록1열 9,-927,664,-93,1층 B블록1열 1
1층,E블록,1,1,1층 E블록1열 1,-1086,633,-93,1층 A블록1열 9
1층,E블록,1,2,1층 E블록1열 2,-1133,624,-93,1층 A블록1열 8
1층,E블록,1,3,1층 E블록1열 3,-1178,613,-93,1층 A블록1열 7
1층,E블록,1,4,1층 E블록1열 4,-1224,602,-93,1층 A블록1열 6
1층,E블록,1,5,1층 E블록1열 5,-1270,591,-93,1층 A블록1열 5
1층,E블록,1,6,1층 E블록1열 6,-1315,580,-93,1층 A블록1열 4
1층,E블록,1,7,1층 E블록1열 7,-1361,568,-93,1층 A블록1열 3
1층,E블록,1,8,1층 E블록1열 8,-1406,555,-93,1층 A블록1열 2
1층,E블록,1,9,1층 E블록1열 9,-1451,542,-93,1층 A블록1열 1
1층,A블록,2,1,1층 A블록2열 1,1478,634,-76,1층 E블록2열 9
1층,A블록,2,2,1층 A블록2열 2,1432,646,-76,1층 E블록2열 8
1층,A블록,2,3,1층 A블록2열 3,1386,659,-76,1층 E블록2열 7
